Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...titchedpics/otherreplicates/flat_rep34x_fullWellFiltered,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...titchedpics/otherreplicates/flat_rep34x_fullWellFiltered-fit
0.000000000,0.029926456,0.009850910
2.022471910,0.000586167,0.009850910
4.044943820,0.006276574,0.009850910
6.067415730,0.006879473,0.009850910
8.089887640,0.002571087,0.009850910
10.112359551,0.002068662,0.009850910
12.134831461,0.003956362,0.009850910
14.157303371,0.003528552,0.009850910
16.179775281,0.001039717,0.009850910
18.202247191,0.012389728,0.009850910
20.224719101,0.003465901,0.009850910
22.247191011,0.000673277,0.009850910
24.269662921,0.011361237,0.009850910
26.292134831,0.002839940,0.009850910
28.314606742,0.005487477,0.009850910
30.337078652,0.003458698,0.009850910
32.359550562,0.001635091,0.009850910
34.382022472,0.009771581,0.009850910
36.404494382,0.000464422,0.009850910
38.426966292,0.013933512,0.009850910
40.449438202,0.000415932,0.009850910
42.471910112,0.000410406,0.009850910
44.494382022,0.032783406,0.009850910
46.516853933,0.000040933,0.009850910
48.539325843,0.007949832,0.009850910
50.561797753,0.012927821,0.009850910
52.584269663,0.009748382,0.009850910
54.606741573,0.011658637,0.009850910
56.629213483,0.002802028,0.009850910
58.651685393,0.006907026,0.009850910
60.674157303,0.010489262,0.009850910
62.696629213,0.031030016,0.009850910
64.719101124,0.000823729,0.009850910
66.741573034,0.008458046,0.009850910
68.764044944,0.042970616,0.009850910
70.786516854,0.000294256,0.009850910
72.808988764,0.001109454,0.009850910
74.831460674,0.021174751,0.009850910
76.853932584,0.015103565,0.009850910
78.876404494,0.004899141,0.009850910
80.898876404,0.005963184,0.009850910
82.921348315,0.047354716,0.009850910
84.943820225,0.000527746,0.009850910
86.966292135,0.000159892,0.009850910
88.988764045,0.123268998,0.123268998
91.011235955,0.000171435,0.009850910
93.033707865,0.000473706,0.009850910
95.056179775,0.056494212,0.009850910
97.078651685,0.005868978,0.009850910
99.101123596,0.005658369,0.009850910
101.123595506,0.020606799,0.009850910
103.146067416,0.024920872,0.009850910
105.168539326,0.001347252,0.009850910
107.191011236,0.000447964,0.009850910
109.213483146,0.055063836,0.009850910
111.235955056,0.012319210,0.009850910
113.258426966,0.000993832,0.009850910
115.280898876,0.044404759,0.009850910
117.303370787,0.012828123,0.009850910
119.325842697,0.011496596,0.009850910
121.348314607,0.004331622,0.009850910
123.370786517,0.016732315,0.009850910
125.393258427,0.014668754,0.009850910
127.415730337,0.017734333,0.009850910
129.438202247,0.012110881,0.009850910
131.460674157,0.000049845,0.009850910
133.483146067,0.048010922,0.009850910
135.505617978,0.000444535,0.009850910
137.528089888,0.000443636,0.009850910
139.550561798,0.017965458,0.009850910
141.573033708,0.000489150,0.009850910
143.595505618,0.012717910,0.009850910
145.617977528,0.002254596,0.009850910
147.640449438,0.005074714,0.009850910
149.662921348,0.006289785,0.009850910
151.685393258,0.003995619,0.009850910
153.707865169,0.013291238,0.009850910
155.730337079,0.000746165,0.009850910
157.752808989,0.004234166,0.009850910
159.775280899,0.014171452,0.009850910
161.797752809,0.001157261,0.009850910
163.820224719,0.003902926,0.009850910
165.842696629,0.004618947,0.009850910
167.865168539,0.002244823,0.009850910
169.887640449,0.002699244,0.009850910
171.910112360,0.007414123,0.009850910
173.932584270,0.006935756,0.009850910
175.955056180,0.000521779,0.009850910
177.977528090,0.000066415,0.009850910
180.000000000,0.000000000,0.009850910
