Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...dpics/otherreplicates/62pt5_rep1_4x_stitched_stack-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...dpics/otherreplicates/62pt5_rep1_4x_stitched_stack-MaxIP-fit
0.000000000,0.010787566,0.009577526
2.022471910,0.010602437,0.009578015
4.044943820,0.010718364,0.009578854
6.067415730,0.010395728,0.009580269
8.089887640,0.010556949,0.009582606
10.112359551,0.010597568,0.009586391
12.134831461,0.010698282,0.009592397
14.157303371,0.010334443,0.009601739
16.179775281,0.010571224,0.009615979
18.202247191,0.010154899,0.009637246
20.224719101,0.010501185,0.009668360
22.247191011,0.010458024,0.009712948
24.269662921,0.010522042,0.009775522
26.292134831,0.010313447,0.009861497
28.314606742,0.010659440,0.009977125
30.337078652,0.010809110,0.010129290
32.359550562,0.011087352,0.010325165
34.382022472,0.010898323,0.010571693
36.404494382,0.011138607,0.010874907
38.426966292,0.011471629,0.011239120
40.449438202,0.011660087,0.011666038
42.471910112,0.012238057,0.012153889
44.494382022,0.012103406,0.012696687
46.516853933,0.013129571,0.013283744
48.539325843,0.013934136,0.013899553
50.561797753,0.014438575,0.014524145
52.584269663,0.014434168,0.015133937
54.606741573,0.015426550,0.015703083
56.629213483,0.016647212,0.016205221
58.651685393,0.016736079,0.016615461
60.674157303,0.016430810,0.016912422
62.696629213,0.016933387,0.017080074
64.719101124,0.017611901,0.017109169
66.741573034,0.017090488,0.016998089
68.764044944,0.016280314,0.016752991
70.786516854,0.016133772,0.016387247
72.808988764,0.016559159,0.015920231
74.831460674,0.015357849,0.015375622
76.853932584,0.014941781,0.014779424
78.876404494,0.014883278,0.014157925
80.898876404,0.013749180,0.013535833
82.921348315,0.013285818,0.012934744
84.943820225,0.012239500,0.012372079
86.966292135,0.011754857,0.011860530
88.988764045,0.010929148,0.011407986
91.011235955,0.011162428,0.011017883
93.033707865,0.010339125,0.010689851
95.056179775,0.010085540,0.010420546
97.078651685,0.009645129,0.010204542
99.101123596,0.009535848,0.010035181
101.123595506,0.009174056,0.009905312
103.146067416,0.009195978,0.009807881
105.168539326,0.008838611,0.009736342
107.191011236,0.008606276,0.009684919
109.213483146,0.008605902,0.009648725
111.235955056,0.008352590,0.009623773
113.258426966,0.008194331,0.009606924
115.280898876,0.008033404,0.009595776
117.303370787,0.008243247,0.009588549
119.325842697,0.008321123,0.009583957
121.348314607,0.008177702,0.009581098
123.370786517,0.008198570,0.009579353
125.393258427,0.008304158,0.009578309
127.415730337,0.008154423,0.009577696
129.438202247,0.008272408,0.009577344
131.460674157,0.008364083,0.009577145
133.483146067,0.008448482,0.009577035
135.505617978,0.008714336,0.009576976
137.528089888,0.008772642,0.009576944
139.550561798,0.008927358,0.009576928
141.573033708,0.009002894,0.009576919
143.595505618,0.009092507,0.009576915
145.617977528,0.009418845,0.009576913
147.640449438,0.009578673,0.009576912
149.662921348,0.009625607,0.009576911
151.685393258,0.009627315,0.009576911
153.707865169,0.009859653,0.009576911
155.730337079,0.009871411,0.009576911
157.752808989,0.009799902,0.009576911
159.775280899,0.009856949,0.009576911
161.797752809,0.010134405,0.009576911
163.820224719,0.010437872,0.009576911
165.842696629,0.010108092,0.009576911
167.865168539,0.010297331,0.009576911
169.887640449,0.010357738,0.009576911
171.910112360,0.010711873,0.009576911
173.932584270,0.010806689,0.009576911
175.955056180,0.010890173,0.009576911
177.977528090,0.010861054,0.009576911
180.000000000,0.010787566,0.009576911
