Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...dpics/otherreplicates/12pt5_rep1_4x_stitched_stack-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...dpics/otherreplicates/12pt5_rep1_4x_stitched_stack-MaxIP-fit
0.000000000,0.009473780,0.009146443
2.022471910,0.009394066,0.009146443
4.044943820,0.009480678,0.009146443
6.067415730,0.009355639,0.009146443
8.089887640,0.009690100,0.009146443
10.112359551,0.009613993,0.009146443
12.134831461,0.009572899,0.009146443
14.157303371,0.009516889,0.009146443
16.179775281,0.009582633,0.009146445
18.202247191,0.009558891,0.009146448
20.224719101,0.009383885,0.009146455
22.247191011,0.009475181,0.009146473
24.269662921,0.009880566,0.009146514
26.292134831,0.009648488,0.009146604
28.314606742,0.009710025,0.009146798
30.337078652,0.009738683,0.009147204
32.359550562,0.009661007,0.009148024
34.382022472,0.009761883,0.009149636
36.404494382,0.009873638,0.009152709
38.426966292,0.010044847,0.009158388
40.449438202,0.010077103,0.009168568
42.471910112,0.010375345,0.009186260
44.494382022,0.010177682,0.009216066
46.516853933,0.010190099,0.009264730
48.539325843,0.010325899,0.009341704
50.561797753,0.010750822,0.009459619
52.584269663,0.010952870,0.009634486
54.606741573,0.010851619,0.009885408
56.629213483,0.011263076,0.010233583
58.651685393,0.012036033,0.010700414
60.674157303,0.012395782,0.011304666
62.696629213,0.012644888,0.012058808
64.719101124,0.013465592,0.012964930
66.741573034,0.014137012,0.014010883
68.764044944,0.014807161,0.015167467
70.786516854,0.015595557,0.016387533
72.808988764,0.016545998,0.017607673
74.831460674,0.017338668,0.018752809
76.853932584,0.019019989,0.019743389
78.876404494,0.020107287,0.020504351
80.898876404,0.021147809,0.020974462
82.921348315,0.021621135,0.021114445
84.943820225,0.021818378,0.020912402
86.966292135,0.021694330,0.020385479
88.988764045,0.019873881,0.019577463
91.011235955,0.019610116,0.018552779
93.033707865,0.017523808,0.017388019
95.056179775,0.015789198,0.016162547
97.078651685,0.013885855,0.014949781
99.101123596,0.013038042,0.013810412
101.123595506,0.012166734,0.012788355
103.146067416,0.011604456,0.011909560
105.168539326,0.010656954,0.011183322
107.191011236,0.010533507,0.010605348
109.213483146,0.009930218,0.010161721
111.235955056,0.009900231,0.009832940
113.258426966,0.009752638,0.009597455
115.280898876,0.009353576,0.009434338
117.303370787,0.009018095,0.009325000
119.325842697,0.009097810,0.009254043
121.348314607,0.008685454,0.009209444
123.370786517,0.008459728,0.009182284
125.393258427,0.008384840,0.009166254
127.415730337,0.008083467,0.009157082
129.438202247,0.008100313,0.009151995
131.460674157,0.007995188,0.009149258
133.483146067,0.007809371,0.009147829
135.505617978,0.008147784,0.009147106
137.528089888,0.008085999,0.009146751
139.550561798,0.008195695,0.009146582
141.573033708,0.007904648,0.009146504
143.595505618,0.008056191,0.009146469
145.617977528,0.008068100,0.009146453
147.640449438,0.008091733,0.009146447
149.662921348,0.008337729,0.009146444
151.685393258,0.008491548,0.009146443
153.707865169,0.008405356,0.009146443
155.730337079,0.008423696,0.009146443
157.752808989,0.008491240,0.009146443
159.775280899,0.008457881,0.009146443
161.797752809,0.008629057,0.009146443
163.820224719,0.008943166,0.009146443
165.842696629,0.009063353,0.009146443
167.865168539,0.009210735,0.009146443
169.887640449,0.009160732,0.009146443
171.910112360,0.009194438,0.009146443
173.932584270,0.009370142,0.009146443
175.955056180,0.009404366,0.009146443
177.977528090,0.009381247,0.009146443
180.000000000,0.009473780,0.009146443
