Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...itchedpics/otherreplicates/12pt5_rep24x_fullWellFiltered,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...itchedpics/otherreplicates/12pt5_rep24x_fullWellFiltered-fit
0.000000000,0.020792962,0.003903328
2.022471910,0.000538991,0.003967224
4.044943820,0.006035289,0.004046659
6.067415730,0.006250053,0.004144643
8.089887640,0.002709758,0.004264563
10.112359551,0.002070692,0.004410178
12.134831461,0.004114184,0.004585591
14.157303371,0.003027594,0.004795211
16.179775281,0.001594398,0.005043691
18.202247191,0.011913094,0.005335837
20.224719101,0.003906099,0.005676497
22.247191011,0.000896244,0.006070420
24.269662921,0.012584945,0.006522094
26.292134831,0.003952953,0.007035553
28.314606742,0.006518429,0.007614175
30.337078652,0.005318359,0.008260457
32.359550562,0.003167174,0.008975792
34.382022472,0.013919913,0.009760248
36.404494382,0.000756703,0.010612352
38.426966292,0.020322030,0.011528914
40.449438202,0.000925761,0.012504880
42.471910112,0.000892606,0.013533232
44.494382022,0.059217043,0.014604954
46.516853933,0.000027450,0.015709063
48.539325843,0.017927335,0.016832718
50.561797753,0.024503596,0.017961405
52.584269663,0.020280098,0.019079201
54.606741573,0.025317231,0.020169117
56.629213483,0.005611321,0.021213502
58.651685393,0.015398384,0.022194504
60.674157303,0.020023144,0.023094567
62.696629213,0.060709455,0.023896947
64.719101124,0.001395479,0.024586231
66.741573034,0.015107760,0.025148824
68.764044944,0.070025252,0.025573394
70.786516854,0.000658663,0.025851257
72.808988764,0.001899073,0.025976666
74.831460674,0.028696221,0.025947010
76.853932584,0.026968454,0.025762909
78.876404494,0.007267086,0.025428185
80.898876404,0.006790860,0.024949737
82.921348315,0.073427939,0.024337301
84.943820225,0.000465890,0.023603120
86.966292135,0.000195927,0.022761539
88.988764045,0.111643907,0.021828540
91.011235955,0.000154939,0.020821237
93.033707865,0.000612036,0.019757360
95.056179775,0.037137989,0.018654742
97.078651685,0.008124144,0.017530833
99.101123596,0.004249231,0.016402258
101.123595506,0.010817162,0.015284439
103.146067416,0.018293911,0.014191278
105.168539326,0.001066005,0.013134926
107.191011236,0.000234523,0.012125621
109.213483146,0.029538893,0.011171617
111.235955056,0.004979444,0.010279174
113.258426966,0.000933520,0.009452620
115.280898876,0.020547441,0.008694471
117.303370787,0.010011379,0.008005587
119.325842697,0.004177616,0.007385369
121.348314607,0.001742871,0.006831976
123.370786517,0.007985450,0.006342548
125.393258427,0.006476154,0.005913430
127.415730337,0.009427675,0.005540391
129.438202247,0.005358087,0.005218825
131.460674157,0.000034537,0.004943924
133.483146067,0.022288233,0.004710843
135.505617978,0.000386717,0.004514822
137.528089888,0.000421009,0.004351292
139.550561798,0.010233187,0.004215954
141.573033708,0.000473797,0.004104833
143.595505618,0.007051135,0.004014311
145.617977528,0.001342298,0.003941145
147.640449438,0.002102103,0.003882464
149.662921348,0.004723092,0.003835763
151.685393258,0.001808288,0.003798882
153.707865169,0.008529080,0.003769977
155.730337079,0.000641010,0.003747496
157.752808989,0.002404235,0.003730142
159.775280899,0.008952691,0.003716848
161.797752809,0.000981161,0.003706740
163.820224719,0.002421643,0.003699112
165.842696629,0.002949983,0.003693398
167.865168539,0.001648762,0.003689150
169.887640449,0.002308388,0.003686015
171.910112360,0.005135234,0.003683719
173.932584270,0.004924616,0.003682049
175.955056180,0.000548846,0.003680844
177.977528090,0.000055683,0.003679980
180.000000000,0.000000000,0.003679366
