Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...edpics/otherreplicates/unstamped_rep34x_fullWellFiltered,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...edpics/otherreplicates/unstamped_rep34x_fullWellFiltered-fit
0.000000000,0.060648400,0.010675361
2.022471910,0.000754783,0.011336873
4.044943820,0.018330868,0.012056778
6.067415730,0.020095234,0.012830485
8.089887640,0.006007440,0.013651242
10.112359551,0.005389139,0.014510081
12.134831461,0.015310549,0.015395860
14.157303371,0.010758623,0.016295403
16.179775281,0.002480133,0.017193759
18.202247191,0.037732745,0.018074563
20.224719101,0.013234605,0.018920492
22.247191011,0.001318367,0.019713814
24.269662921,0.035516943,0.020436990
26.292134831,0.014738513,0.021073308
28.314606742,0.014377188,0.021607527
30.337078652,0.019946178,0.022026478
32.359550562,0.004859571,0.022319602
34.382022472,0.038576974,0.022479397
36.404494382,0.000818928,0.022501732
38.426966292,0.050411595,0.022386028
40.449438202,0.000547370,0.022135282
42.471910112,0.000522775,0.021755935
44.494382022,0.105333242,0.021257602
46.516853933,0.000061613,0.020652665
48.539325843,0.016892093,0.019955759
50.561797753,0.026523276,0.019183191
52.584269663,0.020376810,0.018352302
54.606741573,0.011530396,0.017480832
56.629213483,0.006116000,0.016586297
58.651685393,0.014892840,0.015685426
60.674157303,0.009212459,0.014793672
62.696629213,0.035542382,0.013924817
64.719101124,0.001508963,0.013090679
66.741573034,0.006155078,0.012300940
68.764044944,0.021614750,0.011563063
70.786516854,0.000873245,0.010882326
72.808988764,0.002336986,0.010261929
74.831460674,0.005807131,0.009703171
76.853932584,0.009672333,0.009205682
78.876404494,0.003024118,0.008767690
80.898876404,0.001678692,0.008386290
82.921348315,0.018353920,0.008057732
84.943820225,0.000458275,0.007777680
86.966292135,0.000215492,0.007541450
88.988764045,0.026524436,0.007344230
91.011235955,0.000174660,0.007181243
93.033707865,0.000524919,0.007047899
95.056179775,0.011567968,0.006939887
97.078651685,0.001957314,0.006853256
99.101123596,0.001822750,0.006784451
101.123595506,0.003932977,0.006730334
103.146067416,0.004182055,0.006688179
105.168539326,0.001045162,0.006655655
107.191011236,0.000271382,0.006630801
109.213483146,0.011247299,0.006611988
111.235955056,0.002361159,0.006597881
113.258426966,0.000833173,0.006587403
115.280898876,0.013841764,0.006579692
117.303370787,0.005407048,0.006574071
119.325842697,0.003440062,0.006570011
121.348314607,0.001824825,0.006567105
123.370786517,0.004137719,0.006565045
125.393258427,0.006297690,0.006563598
127.415730337,0.010105998,0.006562591
129.438202247,0.004742511,0.006561896
131.460674157,0.000051505,0.006561422
133.483146067,0.031297778,0.006561100
135.505617978,0.000329744,0.006560884
137.528089888,0.000356803,0.006560741
139.550561798,0.018905368,0.006560646
141.573033708,0.000570004,0.006560585
143.595505618,0.015598380,0.006560545
145.617977528,0.001808329,0.006560519
147.640449438,0.005487229,0.006560503
149.662921348,0.008697625,0.006560492
151.685393258,0.004688855,0.006560486
153.707865169,0.018743839,0.006560482
155.730337079,0.000787506,0.006560480
157.752808989,0.006498096,0.006560478
159.775280899,0.024248099,0.006560477
161.797752809,0.001111244,0.006560477
163.820224719,0.007733998,0.006560476
165.842696629,0.008829477,0.006560476
167.865168539,0.004035771,0.006560476
169.887640449,0.004544390,0.006560476
171.910112360,0.014765212,0.006560476
173.932584270,0.013193278,0.006560476
175.955056180,0.000807331,0.006560476
177.977528090,0.000110252,0.006560476
180.000000000,0.000000000,0.006560476
