Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...edpics/otherreplicates/flat_rep3_4x_stitched_stack-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...edpics/otherreplicates/flat_rep3_4x_stitched_stack-MaxIP-fit
0.000000000,0.008020344,0.007386148
2.022471910,0.007571816,0.007386167
4.044943820,0.007777005,0.007386199
6.067415730,0.007899293,0.007386252
8.089887640,0.007607731,0.007386339
10.112359551,0.007621109,0.007386478
12.134831461,0.007752493,0.007386699
14.157303371,0.007467407,0.007387048
16.179775281,0.007295775,0.007387589
18.202247191,0.007189866,0.007388422
20.224719101,0.006889176,0.007389686
22.247191011,0.006819904,0.007391583
24.269662921,0.006786831,0.007394395
26.292134831,0.006914736,0.007398516
28.314606742,0.006585937,0.007404479
30.337078652,0.006791155,0.007413008
32.359550562,0.006720526,0.007425058
34.382022472,0.006861722,0.007441875
36.404494382,0.006852067,0.007465062
38.426966292,0.007026984,0.007496640
40.449438202,0.006901212,0.007539114
42.471910112,0.007019225,0.007595539
44.494382022,0.007299638,0.007669560
46.516853933,0.007248865,0.007765445
48.539325843,0.007013251,0.007888079
50.561797753,0.007350523,0.008042915
52.584269663,0.007897359,0.008235880
54.606741573,0.008338947,0.008473216
56.629213483,0.008397520,0.008761253
58.651685393,0.009376045,0.009106113
60.674157303,0.010034263,0.009513347
62.696629213,0.010171776,0.009987513
64.719101124,0.010481617,0.010531718
66.741573034,0.011602084,0.011147140
68.764044944,0.012345521,0.011832568
70.786516854,0.012596122,0.012583995
72.808988764,0.014002534,0.013394308
74.831460674,0.014729299,0.014253109
76.853932584,0.015298492,0.015146702
78.876404494,0.015587972,0.016058281
80.898876404,0.018028941,0.016968325
82.921348315,0.018594304,0.017855203
84.943820225,0.017961373,0.018695974
86.966292135,0.018209685,0.019467329
88.988764045,0.019821092,0.020146656
91.011235955,0.020357922,0.020713125
93.033707865,0.020535422,0.021148745
95.056179775,0.021980730,0.021439316
97.078651685,0.021944108,0.021575193
99.101123596,0.021481562,0.021551820
101.123595506,0.020011877,0.021369983
103.146067416,0.019366037,0.021035766
105.168539326,0.020479031,0.020560212
107.191011236,0.021617825,0.019958721
109.213483146,0.020646237,0.019250216
111.235955056,0.019148114,0.018456162
113.258426966,0.018763152,0.017599488
115.280898876,0.017451039,0.016703500
117.303370787,0.015738933,0.015790849
119.325842697,0.014870727,0.014882623
121.348314607,0.013799865,0.013997602
123.370786517,0.012355905,0.013151714
125.393258427,0.011560348,0.012357699
127.415730337,0.011122973,0.011624987
129.438202247,0.010469419,0.010959756
131.460674157,0.009842414,0.010365157
133.483146067,0.009551175,0.009841658
135.505617978,0.009020203,0.009387468
137.528089888,0.008535588,0.008999005
139.550561798,0.008585735,0.008671376
141.573033708,0.008289804,0.008398820
143.595505618,0.008085797,0.008175120
145.617977528,0.008309325,0.007993945
147.640449438,0.008239125,0.007849125
149.662921348,0.008292647,0.007734856
151.685393258,0.007826912,0.007645845
153.707865169,0.007804554,0.007577385
155.730337079,0.007963393,0.007525392
157.752808989,0.008225815,0.007486396
159.775280899,0.007901967,0.007457510
161.797752809,0.007714067,0.007436375
163.820224719,0.007916779,0.007421101
165.842696629,0.007916852,0.007410196
167.865168539,0.007890797,0.007402505
169.887640449,0.008280183,0.007397146
171.910112360,0.007919546,0.007393457
173.932584270,0.007867530,0.007390948
175.955056180,0.007826703,0.007389261
177.977528090,0.007711981,0.007388141
180.000000000,0.008020344,0.007387406
