Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...edpics/otherreplicates/unstamped_rep14x_fullWellFiltered,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...edpics/otherreplicates/unstamped_rep14x_fullWellFiltered-fit
0.000000000,0.039694798,0.010056932
2.022471910,0.000662084,0.010056932
4.044943820,0.010578368,0.010056932
6.067415730,0.011469019,0.010056932
8.089887640,0.003833640,0.010056932
10.112359551,0.003289253,0.010056932
12.134831461,0.007672245,0.010056932
14.157303371,0.006258147,0.010056932
16.179775281,0.001629221,0.010056932
18.202247191,0.021657403,0.010056932
20.224719101,0.007101588,0.010056932
22.247191011,0.000925326,0.010056932
24.269662921,0.020231522,0.010056932
26.292134831,0.007343072,0.010056932
28.314606742,0.008771843,0.010056932
30.337078652,0.009698710,0.010056932
32.359550562,0.003154122,0.010056932
34.382022472,0.020902820,0.010056932
36.404494382,0.000636690,0.010056932
38.426966292,0.028146918,0.010056932
40.449438202,0.000515048,0.010056932
42.471910112,0.000505783,0.010056932
44.494382022,0.067079376,0.010056932
46.516853933,0.000048821,0.010056932
48.539325843,0.014314925,0.010056932
50.561797753,0.021329363,0.010056932
52.584269663,0.017336211,0.010056932
54.606741573,0.016572150,0.010056932
56.629213483,0.005146029,0.010056932
58.651685393,0.013055302,0.010056932
60.674157303,0.012974478,0.010056932
62.696629213,0.044693579,0.010056932
64.719101124,0.001191869,0.010056932
66.741573034,0.011246429,0.010056932
68.764044944,0.050381192,0.010056932
70.786516854,0.000585385,0.010056932
72.808988764,0.001719372,0.010056932
74.831460674,0.021558745,0.010056932
76.853932584,0.019043478,0.010056932
78.876404494,0.005246129,0.010056932
80.898876404,0.004992247,0.010056932
82.921348315,0.050539755,0.010056932
84.943820225,0.000493367,0.010056932
86.966292135,0.000177814,0.010056932
88.988764045,0.104933028,0.104933028
91.011235955,0.000156493,0.010056932
93.033707865,0.000521991,0.010056932
95.056179775,0.032841136,0.010056932
97.078651685,0.005463929,0.010056932
99.101123596,0.003738203,0.010056932
101.123595506,0.009527916,0.010056932
103.146067416,0.014928704,0.010056932
105.168539326,0.001088773,0.010056932
107.191011236,0.000276595,0.010056932
109.213483146,0.027898123,0.010056932
111.235955056,0.004854267,0.010056932
113.258426966,0.000823898,0.010056932
115.280898876,0.020568811,0.010056932
117.303370787,0.008545420,0.010056932
119.325842697,0.004419449,0.010056932
121.348314607,0.001933544,0.010056932
123.370786517,0.007050199,0.010056932
125.393258427,0.006956262,0.010056932
127.415730337,0.010651760,0.010056932
129.438202247,0.005657306,0.010056932
131.460674157,0.000060755,0.010056932
133.483146067,0.028319539,0.010056932
135.505617978,0.000358886,0.010056932
137.528089888,0.000358418,0.010056932
139.550561798,0.014118857,0.010056932
141.573033708,0.000468410,0.010056932
143.595505618,0.010244643,0.010056932
145.617977528,0.001549523,0.010056932
147.640449438,0.003585901,0.010056932
149.662921348,0.006128184,0.010056932
151.685393258,0.003002841,0.010056932
153.707865169,0.012437836,0.010056932
155.730337079,0.000659358,0.010056932
157.752808989,0.003865096,0.010056932
159.775280899,0.014730312,0.010056932
161.797752809,0.000998811,0.010056932
163.820224719,0.004476397,0.010056932
165.842696629,0.004736029,0.010056932
167.865168539,0.002505071,0.010056932
169.887640449,0.003065859,0.010056932
171.910112360,0.008557419,0.010056932
173.932584270,0.007802801,0.010056932
175.955056180,0.000656692,0.010056932
177.977528090,0.000072922,0.010056932
180.000000000,0.000000000,0.010056932
