Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...hedpics/otherreplicates/125_rep2_4x_stitched_stack-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...hedpics/otherreplicates/125_rep2_4x_stitched_stack-MaxIP-fit
0.000000000,0.008259114,0.007552978
2.022471910,0.007788628,0.007552978
4.044943820,0.007793933,0.007552978
6.067415730,0.007842115,0.007552978
8.089887640,0.008008002,0.007552978
10.112359551,0.007921711,0.007552979
12.134831461,0.007776954,0.007552979
14.157303371,0.007717903,0.007552981
16.179775281,0.007766602,0.007552986
18.202247191,0.007799724,0.007552998
20.224719101,0.007700085,0.007553027
22.247191011,0.007615741,0.007553095
24.269662921,0.007600456,0.007553249
26.292134831,0.007751075,0.007553588
28.314606742,0.007576443,0.007554314
30.337078652,0.007634284,0.007555815
32.359550562,0.007927732,0.007558821
34.382022472,0.008154040,0.007564655
36.404494382,0.007930494,0.007575617
38.426966292,0.007793783,0.007595555
40.449438202,0.008196527,0.007630659
42.471910112,0.008587849,0.007690468
44.494382022,0.009019393,0.007789049
46.516853933,0.009094874,0.007946192
48.539325843,0.009278617,0.008188354
50.561797753,0.009908024,0.008548952
52.584269663,0.010178370,0.009067518
54.606741573,0.011018128,0.009787212
56.629213483,0.011328917,0.010750342
58.651685393,0.011977504,0.011991830
60.674157303,0.013292544,0.013531098
62.696629213,0.015209656,0.015363390
64.719101124,0.016403431,0.017452141
66.741573034,0.018146272,0.019724317
68.764044944,0.022056197,0.022070535
70.786516854,0.023533314,0.024351227
72.808988764,0.026868100,0.026408988
74.831460674,0.029231988,0.028085906
76.853932584,0.029514578,0.029243363
78.876404494,0.029446803,0.029780904
80.898876404,0.030695089,0.029650619
82.921348315,0.029686049,0.028864193
84.943820225,0.027362956,0.027491171
86.966292135,0.024571857,0.025648815
88.988764045,0.023026247,0.023485586
91.011235955,0.021111979,0.021161481
93.033707865,0.017611263,0.018828824
95.056179775,0.016600303,0.016616630
97.078651685,0.014825088,0.014620589
99.101123596,0.013851470,0.012899327
101.123595506,0.012132092,0.011476330
103.146067416,0.010566643,0.010345989
105.168539326,0.009522267,0.009481849
107.191011236,0.008907801,0.008845236
109.213483146,0.008182877,0.008392845
111.235955056,0.008090614,0.008082504
113.258426966,0.007884249,0.007876854
115.280898876,0.007713120,0.007745148
117.303370787,0.007356798,0.007663592
119.325842697,0.007410033,0.007614744
121.348314607,0.007361565,0.007586436
123.370786517,0.007151131,0.007570560
125.393258427,0.007044595,0.007561941
127.415730337,0.006915945,0.007557411
129.438202247,0.006511677,0.007555105
131.460674157,0.006637259,0.007553968
133.483146067,0.006635642,0.007553425
135.505617978,0.006975737,0.007553174
137.528089888,0.006701848,0.007553061
139.550561798,0.006892890,0.007553013
141.573033708,0.006760171,0.007552992
143.595505618,0.006547318,0.007552984
145.617977528,0.006694385,0.007552980
147.640449438,0.006941940,0.007552979
149.662921348,0.006942329,0.007552979
151.685393258,0.006950053,0.007552978
153.707865169,0.007011076,0.007552978
155.730337079,0.006907235,0.007552978
157.752808989,0.006964867,0.007552978
159.775280899,0.007086212,0.007552978
161.797752809,0.007389559,0.007552978
163.820224719,0.007318392,0.007552978
165.842696629,0.007483561,0.007552978
167.865168539,0.007614940,0.007552978
169.887640449,0.007661864,0.007552978
171.910112360,0.007574702,0.007552978
173.932584270,0.007702396,0.007552978
175.955056180,0.007900443,0.007552978
177.977528090,0.007702451,0.007552978
180.000000000,0.008259114,0.007552978
