Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...dpics/otherreplicates/12pt5_rep3_4x_stitched_stack-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...dpics/otherreplicates/12pt5_rep3_4x_stitched_stack-MaxIP-fit
0.000000000,0.009771820,0.008888563
2.022471910,0.009458470,0.008888563
4.044943820,0.009582753,0.008888563
6.067415730,0.009659846,0.008888563
8.089887640,0.009358171,0.008888563
10.112359551,0.009422134,0.008888563
12.134831461,0.009528311,0.008888563
14.157303371,0.009159424,0.008888563
16.179775281,0.009273762,0.008888563
18.202247191,0.009060239,0.008888563
20.224719101,0.008953630,0.008888563
22.247191011,0.008717685,0.008888563
24.269662921,0.008718111,0.008888563
26.292134831,0.008667008,0.008888563
28.314606742,0.008680902,0.008888563
30.337078652,0.008376364,0.008888564
32.359550562,0.008370843,0.008888565
34.382022472,0.008644488,0.008888569
36.404494382,0.008647424,0.008888584
38.426966292,0.008590868,0.008888632
40.449438202,0.008725931,0.008888778
42.471910112,0.008757898,0.008889201
44.494382022,0.009141539,0.008890356
46.516853933,0.008703507,0.008893338
48.539325843,0.009104372,0.008900599
50.561797753,0.009455888,0.008917284
52.584269663,0.009773772,0.008953450
54.606741573,0.009785536,0.009027340
56.629213483,0.009732375,0.009169554
58.651685393,0.010068300,0.009427178
60.674157303,0.010900842,0.009865966
62.696629213,0.011760186,0.010567676
64.719101124,0.012453328,0.011619405
66.741573034,0.013436369,0.013093151
68.764044944,0.014943009,0.015017154
70.786516854,0.016580674,0.017345406
72.808988764,0.018686457,0.019936118
74.831460674,0.021540703,0.022551199
76.853932584,0.024441103,0.024884627
78.876404494,0.027488356,0.026618293
80.898876404,0.028929188,0.027492354
82.921348315,0.029174637,0.027368953
84.943820225,0.025332150,0.026267819
86.966292135,0.023426115,0.024361101
88.988764045,0.021482771,0.021929305
91.011235955,0.018069728,0.019293833
93.033707865,0.016973367,0.016748423
95.056179775,0.014835739,0.014509213
97.078651685,0.013370717,0.012693686
99.101123596,0.011280705,0.011327279
101.123595506,0.011158378,0.010368230
103.146067416,0.010016635,0.009738481
105.168539326,0.010084908,0.009350732
107.191011236,0.009528139,0.009126485
109.213483146,0.009550160,0.009004515
111.235955056,0.009123374,0.008942061
113.258426966,0.008888123,0.008911930
115.280898876,0.009026505,0.008898225
117.303370787,0.008396377,0.008892346
119.325842697,0.008039639,0.008889965
121.348314607,0.008086381,0.008889055
123.370786517,0.007978663,0.008888727
125.393258427,0.007963057,0.008888615
127.415730337,0.007744534,0.008888579
129.438202247,0.008012615,0.008888568
131.460674157,0.007801624,0.008888564
133.483146067,0.007773508,0.008888564
135.505617978,0.008053195,0.008888563
137.528089888,0.007664492,0.008888563
139.550561798,0.007638365,0.008888563
141.573033708,0.007930357,0.008888563
143.595505618,0.008195726,0.008888563
145.617977528,0.007853485,0.008888563
147.640449438,0.008015445,0.008888563
149.662921348,0.008411995,0.008888563
151.685393258,0.008447685,0.008888563
153.707865169,0.008461210,0.008888563
155.730337079,0.008534047,0.008888563
157.752808989,0.008769860,0.008888563
159.775280899,0.009016966,0.008888563
161.797752809,0.009252265,0.008888563
163.820224719,0.009654963,0.008888563
165.842696629,0.009262769,0.008888563
167.865168539,0.009351562,0.008888563
169.887640449,0.009341917,0.008888563
171.910112360,0.009519807,0.008888563
173.932584270,0.009531631,0.008888563
175.955056180,0.009634886,0.008888563
177.977528090,0.009515419,0.008888563
180.000000000,0.009771820,0.008888563
