Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...chedpics/otherreplicates/25_rep1_4x_stitched_stack-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...chedpics/otherreplicates/25_rep1_4x_stitched_stack-MaxIP-fit
0.000000000,0.008263363,0.007824995
2.022471910,0.007916225,0.007824995
4.044943820,0.008231906,0.007824995
6.067415730,0.008276079,0.007824996
8.089887640,0.008409983,0.007824999
10.112359551,0.008145809,0.007825005
12.134831461,0.008159905,0.007825020
14.157303371,0.008153808,0.007825055
16.179775281,0.008265808,0.007825135
18.202247191,0.008248866,0.007825310
20.224719101,0.008358345,0.007825684
22.247191011,0.008318286,0.007826458
24.269662921,0.008375324,0.007828015
26.292134831,0.008677960,0.007831050
28.314606742,0.008500574,0.007836792
30.337078652,0.008802647,0.007847331
32.359550562,0.009311498,0.007866089
34.382022472,0.009279824,0.007898468
36.404494382,0.009893453,0.007952646
38.426966292,0.010114151,0.008040512
40.449438202,0.010191999,0.008178582
42.471910112,0.010352949,0.008388721
44.494382022,0.010551061,0.008698364
46.516853933,0.010904469,0.009139874
48.539325843,0.011506268,0.009748668
50.561797753,0.012294108,0.010559853
52.584269663,0.012617629,0.011603293
54.606741573,0.013699361,0.012897418
56.629213483,0.013915385,0.014442475
58.651685393,0.015008838,0.016214333
60.674157303,0.017183733,0.018160238
62.696629213,0.018048320,0.020197896
64.719101124,0.021118174,0.022218955
66.741573034,0.023406223,0.024097219
68.764044944,0.025047238,0.025701040
70.786516854,0.027438329,0.026908312
72.808988764,0.029599442,0.027621758
74.831460674,0.029487909,0.027781863
76.853932584,0.028589517,0.027375073
78.876404494,0.025906021,0.026435686
80.898876404,0.024518570,0.025041079
82.921348315,0.023598345,0.023301189
84.943820225,0.020799896,0.021344221
86.966292135,0.018805232,0.019301176
88.988764045,0.016112719,0.017291744
91.011235955,0.014865185,0.015413604
93.033707865,0.013329748,0.013736274
95.056179775,0.012283821,0.012299640
97.078651685,0.011575456,0.011116493
99.101123596,0.010802768,0.010177803
101.123595506,0.009853569,0.009459316
103.146067416,0.009274212,0.008928174
105.168539326,0.008952119,0.008548618
107.191011236,0.008869254,0.008286246
109.213483146,0.008174084,0.008110701
111.235955056,0.007791460,0.007996967
113.258426966,0.007687793,0.007925585
115.280898876,0.007229023,0.007882171
117.303370787,0.007163067,0.007856576
119.325842697,0.007134729,0.007841946
121.348314607,0.006948291,0.007833836
123.370786517,0.006612826,0.007829476
125.393258427,0.006641924,0.007827202
127.415730337,0.006563510,0.007826051
129.438202247,0.006581833,0.007825486
131.460674157,0.006605550,0.007825217
133.483146067,0.006359078,0.007825092
135.505617978,0.006483390,0.007825036
137.528089888,0.006520441,0.007825012
139.550561798,0.006646998,0.007825002
141.573033708,0.006638855,0.007824997
143.595505618,0.006806591,0.007824996
145.617977528,0.006752914,0.007824995
147.640449438,0.006748154,0.007824995
149.662921348,0.006862257,0.007824995
151.685393258,0.006984351,0.007824995
153.707865169,0.007032763,0.007824995
155.730337079,0.007000197,0.007824995
157.752808989,0.007301628,0.007824995
159.775280899,0.007263185,0.007824995
161.797752809,0.007234004,0.007824995
163.820224719,0.007230461,0.007824995
165.842696629,0.007399629,0.007824995
167.865168539,0.007599187,0.007824995
169.887640449,0.007937600,0.007824995
171.910112360,0.007827864,0.007824995
173.932584270,0.007926919,0.007824995
175.955056180,0.007951291,0.007824995
177.977528090,0.007883110,0.007824995
180.000000000,0.008263363,0.007824995
