Direction (°),frame_0210,frame_0210-fit
0.000000000,0.016338916,0.013508422
2.022471910,0.018114856,0.017205538
4.044943820,0.024694779,0.022208772
6.067415730,0.026655738,0.027913331
8.089887640,0.029045525,0.033144663
10.112359551,0.035618423,0.036506999
12.134831461,0.040493589,0.036976879
14.157303371,0.032709056,0.034404357
16.179775281,0.031619281,0.029589926
18.202247191,0.026121499,0.023883820
20.224719101,0.016773196,0.018578947
22.247191011,0.012715060,0.014465033
24.269662921,0.009799849,0.011732652
26.292134831,0.008427935,0.010156800
28.314606742,0.007458767,0.009361196
30.337078652,0.006404489,0.009007743
32.359550562,0.006020816,0.008869088
34.382022472,0.005282174,0.008820938
36.404494382,0.004990588,0.008806110
38.426966292,0.005079329,0.008802054
40.449438202,0.004520638,0.008801068
42.471910112,0.004837264,0.008800855
44.494382022,0.004954114,0.008800814
46.516853933,0.005189701,0.008800807
48.539325843,0.005333666,0.008800806
50.561797753,0.005331379,0.008800806
52.584269663,0.005522816,0.008800806
54.606741573,0.005341573,0.008800806
56.629213483,0.005340865,0.008800806
58.651685393,0.005866359,0.008800806
60.674157303,0.005241240,0.008800806
62.696629213,0.005450794,0.008800806
64.719101124,0.005613275,0.008800806
66.741573034,0.005134962,0.008800806
68.764044944,0.006755835,0.008800806
70.786516854,0.006753789,0.008800806
72.808988764,0.007842280,0.008800806
74.831460674,0.008105146,0.008800806
76.853932584,0.008293686,0.008800806
78.876404494,0.009207873,0.008800806
80.898876404,0.007259057,0.008800806
82.921348315,0.007077732,0.008800806
84.943820225,0.006962944,0.008800806
86.966292135,0.006594270,0.008800806
88.988764045,0.007018320,0.008800806
91.011235955,0.006798030,0.008800806
93.033707865,0.006862703,0.008800806
95.056179775,0.006509906,0.008800806
97.078651685,0.006108929,0.008800806
99.101123596,0.006722460,0.008800806
101.123595506,0.007417453,0.008800806
103.146067416,0.006977286,0.008800806
105.168539326,0.007084968,0.008800806
107.191011236,0.006440763,0.008800806
109.213483146,0.006510583,0.008800806
111.235955056,0.007306805,0.008800806
113.258426966,0.007773049,0.008800806
115.280898876,0.007651943,0.008800806
117.303370787,0.007422216,0.008800806
119.325842697,0.006855579,0.008800806
121.348314607,0.007484446,0.008800806
123.370786517,0.007322697,0.008800806
125.393258427,0.007287679,0.008800806
127.415730337,0.007410217,0.008800806
129.438202247,0.007777951,0.008800806
131.460674157,0.007672099,0.008800806
133.483146067,0.007693742,0.008800806
135.505617978,0.007912565,0.008800806
137.528089888,0.008130725,0.008800806
139.550561798,0.007404040,0.008800806
141.573033708,0.008799038,0.008800806
143.595505618,0.009151322,0.008800806
145.617977528,0.009096382,0.008800806
147.640449438,0.009795711,0.008800806
149.662921348,0.010408368,0.008800806
151.685393258,0.011328325,0.008800806
153.707865169,0.013260754,0.008800806
155.730337079,0.014368737,0.008800806
157.752808989,0.019840031,0.008800806
159.775280899,0.022695479,0.008800806
161.797752809,0.020151381,0.008800806
163.820224719,0.021129515,0.008800806
165.842696629,0.018361283,0.008800806
167.865168539,0.018268640,0.008800806
169.887640449,0.015898115,0.008800806
171.910112360,0.014928844,0.008800806
173.932584270,0.015401429,0.008800806
175.955056180,0.015517259,0.008800806
177.977528090,0.014808192,0.008800806
180.000000000,0.016338916,0.008800806
