Direction (°),frame_0210,frame_0210-fit
0.000000000,0.003371206,0.002944638
2.022471910,0.002961588,0.002944638
4.044943820,0.002933257,0.002944638
6.067415730,0.002846751,0.002944638
8.089887640,0.002750017,0.002944638
10.112359551,0.002838208,0.002944638
12.134831461,0.002833739,0.002944638
14.157303371,0.002641911,0.002944638
16.179775281,0.002592944,0.002944638
18.202247191,0.002684222,0.002944638
20.224719101,0.002534524,0.002944639
22.247191011,0.002671089,0.002944640
24.269662921,0.002639462,0.002944644
26.292134831,0.002460160,0.002944657
28.314606742,0.002537595,0.002944693
30.337078652,0.002588665,0.002944791
32.359550562,0.002637777,0.002945049
34.382022472,0.002465806,0.002945694
36.404494382,0.003002794,0.002947252
38.426966292,0.003162909,0.002950856
40.449438202,0.003278314,0.002958862
42.471910112,0.003653156,0.002975921
44.494382022,0.003984605,0.003010793
46.516853933,0.004108732,0.003079156
48.539325843,0.004302268,0.003207639
50.561797753,0.004678979,0.003439052
52.584269663,0.005674428,0.003838320
54.606741573,0.005994424,0.004497862
56.629213483,0.006363967,0.005540272
58.651685393,0.008074456,0.007115361
60.674157303,0.011065766,0.009388374
62.696629213,0.012040045,0.012517078
64.719101124,0.016819441,0.016617710
66.741573034,0.020921986,0.021723447
68.764044944,0.029213578,0.027743314
70.786516854,0.037271381,0.034432812
72.808988764,0.045721286,0.041388319
74.831460674,0.050537267,0.048074184
76.853932584,0.054970548,0.053884232
78.876404494,0.047737398,0.058229790
80.898876404,0.051793873,0.060637231
82.921348315,0.056582542,0.060832848
84.943820225,0.060191790,0.058794061
86.966292135,0.060513565,0.054753706
88.988764045,0.062612190,0.049156279
91.011235955,0.050014203,0.042577506
93.033707865,0.035189640,0.035627354
95.056179775,0.023995727,0.028858926
97.078651685,0.015683360,0.022701545
99.101123596,0.011756589,0.017427591
101.123595506,0.009791492,0.013152947
103.146067416,0.007385784,0.009863091
105.168539326,0.005898734,0.007453041
107.191011236,0.004946131,0.005769485
109.213483146,0.004868280,0.004646505
111.235955056,0.004142821,0.003930497
113.258426966,0.003983620,0.003493752
115.280898876,0.003715114,0.003238720
117.303370787,0.003686694,0.003096076
119.325842697,0.003332754,0.003019620
121.348314607,0.002813683,0.002980336
123.370786517,0.002603097,0.002960979
125.393258427,0.002774904,0.002951830
127.415730337,0.002590720,0.002947682
129.438202247,0.002643885,0.002945877
131.460674157,0.002734405,0.002945123
133.483146067,0.002686643,0.002944820
135.505617978,0.002783120,0.002944704
137.528089888,0.002760093,0.002944661
139.550561798,0.002714626,0.002944646
141.573033708,0.002782639,0.002944640
143.595505618,0.002911424,0.002944639
145.617977528,0.002749571,0.002944638
147.640449438,0.002679226,0.002944638
149.662921348,0.002895780,0.002944638
151.685393258,0.003056577,0.002944638
153.707865169,0.003035204,0.002944638
155.730337079,0.002963528,0.002944638
157.752808989,0.003058929,0.002944638
159.775280899,0.003067507,0.002944638
161.797752809,0.003189682,0.002944638
163.820224719,0.003275561,0.002944638
165.842696629,0.003370710,0.002944638
167.865168539,0.003425912,0.002944638
169.887640449,0.003390974,0.002944638
171.910112360,0.003030762,0.002944638
173.932584270,0.003022960,0.002944638
175.955056180,0.003025411,0.002944638
177.977528090,0.002939704,0.002944638
180.000000000,0.003371206,0.002944638
