direction,value,Stamp_Parameters,rep
40.449438202,0.010077103,12.5,1
40.449438202,0.010077103,12.5,1
40.449438202,0.010077103,12.5,1
40.449438202,0.010077103,12.5,1
40.449438202,0.010077103,12.5,1
40.449438202,0.010077103,12.5,1
40.449438202,0.010077103,12.5,1
42.471910112,0.010375345,12.5,1
42.471910112,0.010375345,12.5,1
42.471910112,0.010375345,12.5,1
42.471910112,0.010375345,12.5,1
42.471910112,0.010375345,12.5,1
42.471910112,0.010375345,12.5,1
42.471910112,0.010375345,12.5,1
42.471910112,0.010375345,12.5,1
42.471910112,0.010375345,12.5,1
44.494382022,0.010177682,12.5,1
44.494382022,0.010177682,12.5,1
44.494382022,0.010177682,12.5,1
44.494382022,0.010177682,12.5,1
44.494382022,0.010177682,12.5,1
44.494382022,0.010177682,12.5,1
44.494382022,0.010177682,12.5,1
44.494382022,0.010177682,12.5,1
44.494382022,0.010177682,12.5,1
46.516853933,0.010190099,12.5,1
46.516853933,0.010190099,12.5,1
46.516853933,0.010190099,12.5,1
46.516853933,0.010190099,12.5,1
46.516853933,0.010190099,12.5,1
46.516853933,0.010190099,12.5,1
46.516853933,0.010190099,12.5,1
46.516853933,0.010190099,12.5,1
46.516853933,0.010190099,12.5,1
48.539325843,0.010325899,12.5,1
48.539325843,0.010325899,12.5,1
48.539325843,0.010325899,12.5,1
48.539325843,0.010325899,12.5,1
48.539325843,0.010325899,12.5,1
48.539325843,0.010325899,12.5,1
48.539325843,0.010325899,12.5,1
48.539325843,0.010325899,12.5,1
48.539325843,0.010325899,12.5,1
50.561797753,0.010750822,12.5,1
50.561797753,0.010750822,12.5,1
50.561797753,0.010750822,12.5,1
50.561797753,0.010750822,12.5,1
50.561797753,0.010750822,12.5,1
50.561797753,0.010750822,12.5,1
50.561797753,0.010750822,12.5,1
50.561797753,0.010750822,12.5,1
50.561797753,0.010750822,12.5,1
50.561797753,0.010750822,12.5,1
52.584269663,0.01095287,12.5,1
52.584269663,0.01095287,12.5,1
52.584269663,0.01095287,12.5,1
52.584269663,0.01095287,12.5,1
52.584269663,0.01095287,12.5,1
52.584269663,0.01095287,12.5,1
52.584269663,0.01095287,12.5,1
52.584269663,0.01095287,12.5,1
52.584269663,0.01095287,12.5,1
52.584269663,0.01095287,12.5,1
54.606741573,0.010851619,12.5,1
54.606741573,0.010851619,12.5,1
54.606741573,0.010851619,12.5,1
54.606741573,0.010851619,12.5,1
54.606741573,0.010851619,12.5,1
54.606741573,0.010851619,12.5,1
54.606741573,0.010851619,12.5,1
54.606741573,0.010851619,12.5,1
54.606741573,0.010851619,12.5,1
54.606741573,0.010851619,12.5,1
56.629213483,0.011263076,12.5,1
56.629213483,0.011263076,12.5,1
56.629213483,0.011263076,12.5,1
56.629213483,0.011263076,12.5,1
56.629213483,0.011263076,12.5,1
56.629213483,0.011263076,12.5,1
56.629213483,0.011263076,12.5,1
56.629213483,0.011263076,12.5,1
56.629213483,0.011263076,12.5,1
56.629213483,0.011263076,12.5,1
58.651685393,0.012036033,12.5,1
58.651685393,0.012036033,12.5,1
58.651685393,0.012036033,12.5,1
58.651685393,0.012036033,12.5,1
58.651685393,0.012036033,12.5,1
58.651685393,0.012036033,12.5,1
58.651685393,0.012036033,12.5,1
58.651685393,0.012036033,12.5,1
58.651685393,0.012036033,12.5,1
58.651685393,0.012036033,12.5,1
58.651685393,0.012036033,12.5,1
60.674157303,0.012395782,12.5,1
60.674157303,0.012395782,12.5,1
60.674157303,0.012395782,12.5,1
60.674157303,0.012395782,12.5,1
60.674157303,0.012395782,12.5,1
60.674157303,0.012395782,12.5,1
60.674157303,0.012395782,12.5,1
60.674157303,0.012395782,12.5,1
60.674157303,0.012395782,12.5,1
60.674157303,0.012395782,12.5,1
60.674157303,0.012395782,12.5,1
62.696629213,0.012644888,12.5,1
62.696629213,0.012644888,12.5,1
62.696629213,0.012644888,12.5,1
62.696629213,0.012644888,12.5,1
62.696629213,0.012644888,12.5,1
62.696629213,0.012644888,12.5,1
62.696629213,0.012644888,12.5,1
62.696629213,0.012644888,12.5,1
62.696629213,0.012644888,12.5,1
62.696629213,0.012644888,12.5,1
62.696629213,0.012644888,12.5,1
62.696629213,0.012644888,12.5,1
64.719101124,0.013465592,12.5,1
64.719101124,0.013465592,12.5,1
64.719101124,0.013465592,12.5,1
64.719101124,0.013465592,12.5,1
64.719101124,0.013465592,12.5,1
64.719101124,0.013465592,12.5,1
64.719101124,0.013465592,12.5,1
64.719101124,0.013465592,12.5,1
64.719101124,0.013465592,12.5,1
64.719101124,0.013465592,12.5,1
64.719101124,0.013465592,12.5,1
64.719101124,0.013465592,12.5,1
66.741573034,0.014137012,12.5,1
66.741573034,0.014137012,12.5,1
66.741573034,0.014137012,12.5,1
66.741573034,0.014137012,12.5,1
66.741573034,0.014137012,12.5,1
66.741573034,0.014137012,12.5,1
66.741573034,0.014137012,12.5,1
66.741573034,0.014137012,12.5,1
66.741573034,0.014137012,12.5,1
66.741573034,0.014137012,12.5,1
66.741573034,0.014137012,12.5,1
66.741573034,0.014137012,12.5,1
66.741573034,0.014137012,12.5,1
68.764044944,0.014807161,12.5,1
68.764044944,0.014807161,12.5,1
68.764044944,0.014807161,12.5,1
68.764044944,0.014807161,12.5,1
68.764044944,0.014807161,12.5,1
68.764044944,0.014807161,12.5,1
68.764044944,0.014807161,12.5,1
68.764044944,0.014807161,12.5,1
68.764044944,0.014807161,12.5,1
68.764044944,0.014807161,12.5,1
68.764044944,0.014807161,12.5,1
68.764044944,0.014807161,12.5,1
68.764044944,0.014807161,12.5,1
68.764044944,0.014807161,12.5,1
70.786516854,0.015595557,12.5,1
70.786516854,0.015595557,12.5,1
70.786516854,0.015595557,12.5,1
70.786516854,0.015595557,12.5,1
70.786516854,0.015595557,12.5,1
70.786516854,0.015595557,12.5,1
70.786516854,0.015595557,12.5,1
70.786516854,0.015595557,12.5,1
70.786516854,0.015595557,12.5,1
70.786516854,0.015595557,12.5,1
70.786516854,0.015595557,12.5,1
70.786516854,0.015595557,12.5,1
70.786516854,0.015595557,12.5,1
70.786516854,0.015595557,12.5,1
70.786516854,0.015595557,12.5,1
72.808988764,0.016545998,12.5,1
72.808988764,0.016545998,12.5,1
72.808988764,0.016545998,12.5,1
72.808988764,0.016545998,12.5,1
72.808988764,0.016545998,12.5,1
72.808988764,0.016545998,12.5,1
72.808988764,0.016545998,12.5,1
72.808988764,0.016545998,12.5,1
72.808988764,0.016545998,12.5,1
72.808988764,0.016545998,12.5,1
72.808988764,0.016545998,12.5,1
72.808988764,0.016545998,12.5,1
72.808988764,0.016545998,12.5,1
72.808988764,0.016545998,12.5,1
72.808988764,0.016545998,12.5,1
72.808988764,0.016545998,12.5,1
74.831460674,0.017338668,12.5,1
74.831460674,0.017338668,12.5,1
74.831460674,0.017338668,12.5,1
74.831460674,0.017338668,12.5,1
74.831460674,0.017338668,12.5,1
74.831460674,0.017338668,12.5,1
74.831460674,0.017338668,12.5,1
74.831460674,0.017338668,12.5,1
74.831460674,0.017338668,12.5,1
74.831460674,0.017338668,12.5,1
74.831460674,0.017338668,12.5,1
74.831460674,0.017338668,12.5,1
74.831460674,0.017338668,12.5,1
74.831460674,0.017338668,12.5,1
74.831460674,0.017338668,12.5,1
74.831460674,0.017338668,12.5,1
76.853932584,0.019019989,12.5,1
76.853932584,0.019019989,12.5,1
76.853932584,0.019019989,12.5,1
76.853932584,0.019019989,12.5,1
76.853932584,0.019019989,12.5,1
76.853932584,0.019019989,12.5,1
76.853932584,0.019019989,12.5,1
76.853932584,0.019019989,12.5,1
76.853932584,0.019019989,12.5,1
76.853932584,0.019019989,12.5,1
76.853932584,0.019019989,12.5,1
76.853932584,0.019019989,12.5,1
76.853932584,0.019019989,12.5,1
76.853932584,0.019019989,12.5,1
76.853932584,0.019019989,12.5,1
76.853932584,0.019019989,12.5,1
76.853932584,0.019019989,12.5,1
76.853932584,0.019019989,12.5,1
78.876404494,0.020107287,12.5,1
