Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...edpics/otherreplicates/flat_rep1_4x_stitched_stack-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...edpics/otherreplicates/flat_rep1_4x_stitched_stack-MaxIP-fit
0.000000000,0.010301158,0.010289680
2.022471910,0.010016949,0.010292606
4.044943820,0.009958920,0.010298031
6.067415730,0.010035486,0.010307740
8.089887640,0.010150545,0.010324509
10.112359551,0.010312180,0.010352455
12.134831461,0.010255965,0.010397369
14.157303371,0.010302544,0.010466958
16.179775281,0.010593802,0.010570843
18.202247191,0.010688981,0.010720160
20.224719101,0.010969671,0.010926628
22.247191011,0.011695925,0.011200987
24.269662921,0.011737979,0.011550868
26.292134831,0.012476829,0.011978295
28.314606742,0.012861172,0.012477276
30.337078652,0.013585603,0.013032001
32.359550562,0.013568489,0.013616295
34.382022472,0.013673294,0.014194775
36.404494382,0.014157960,0.014725894
38.426966292,0.015052878,0.015166649
40.449438202,0.015331196,0.015478241
42.471910112,0.015315698,0.015631693
44.494382022,0.015638959,0.015612292
46.516853933,0.015138254,0.015421914
48.539325843,0.015289764,0.015078724
50.561797753,0.014746817,0.014614322
52.584269663,0.014937609,0.014068944
54.606741573,0.013834239,0.013485740
56.629213483,0.013102918,0.012905242
58.651685393,0.012432839,0.012360990
60.674157303,0.012080257,0.011876891
62.696629213,0.011355739,0.011466474
64.719101124,0.011062939,0.011133768
66.741573034,0.010262820,0.010875283
68.764044944,0.009716225,0.010682493
70.786516854,0.009316565,0.010544271
72.808988764,0.008834688,0.010448917
74.831460674,0.008881046,0.010385571
76.853932584,0.009221416,0.010345019
78.876404494,0.009538780,0.010319991
80.898876404,0.009314802,0.010305092
82.921348315,0.009467884,0.010296533
84.943820225,0.009375385,0.010291788
86.966292135,0.009785282,0.010289248
88.988764045,0.010659109,0.010287936
91.011235955,0.011407840,0.010287280
93.033707865,0.011058398,0.010286964
95.056179775,0.011706373,0.010286817
97.078651685,0.011923922,0.010286750
99.101123596,0.012950670,0.010286722
101.123595506,0.013414433,0.010286709
103.146067416,0.013106836,0.010286705
105.168539326,0.013224870,0.010286703
107.191011236,0.013929487,0.010286702
109.213483146,0.014326370,0.010286702
111.235955056,0.014202160,0.010286701
113.258426966,0.014120920,0.010286701
115.280898876,0.013863135,0.010286701
117.303370787,0.013492885,0.010286701
119.325842697,0.012319292,0.010286701
121.348314607,0.011832114,0.010286701
123.370786517,0.010721099,0.010286701
125.393258427,0.009718178,0.010286701
127.415730337,0.009144260,0.010286701
129.438202247,0.009126129,0.010286701
131.460674157,0.008940273,0.010286701
133.483146067,0.008769633,0.010286701
135.505617978,0.008867261,0.010286701
137.528089888,0.008456264,0.010286701
139.550561798,0.008559269,0.010286701
141.573033708,0.008769188,0.010286701
143.595505618,0.008837853,0.010286701
145.617977528,0.008689062,0.010286701
147.640449438,0.008487968,0.010286701
149.662921348,0.008842211,0.010286701
151.685393258,0.008719903,0.010286701
153.707865169,0.008801052,0.010286701
155.730337079,0.008765729,0.010286701
157.752808989,0.008972231,0.010286701
159.775280899,0.009241057,0.010286701
161.797752809,0.009230039,0.010286701
163.820224719,0.009020326,0.010286701
165.842696629,0.009387320,0.010286701
167.865168539,0.009492559,0.010286701
169.887640449,0.009510819,0.010286701
171.910112360,0.009592158,0.010286701
173.932584270,0.009655288,0.010286701
175.955056180,0.009617697,0.010286701
177.977528090,0.009846750,0.010286701
180.000000000,0.010301158,0.010286701
