Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...hedpics/otherreplicates/125_rep1_4x_stitched_stack-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...hedpics/otherreplicates/125_rep1_4x_stitched_stack-MaxIP-fit
0.000000000,0.009175768,0.008423222
2.022471910,0.008826280,0.008423223
4.044943820,0.008956461,0.008423224
6.067415730,0.009103697,0.008423227
8.089887640,0.008866158,0.008423235
10.112359551,0.008756388,0.008423254
12.134831461,0.008839722,0.008423295
14.157303371,0.009024413,0.008423388
16.179775281,0.008706328,0.008423587
18.202247191,0.008777182,0.008424004
20.224719101,0.008777354,0.008424852
22.247191011,0.008964677,0.008426522
24.269662921,0.009158035,0.008429721
26.292134831,0.009226444,0.008435664
28.314606742,0.009346153,0.008446382
30.337078652,0.009208608,0.008465135
32.359550562,0.009250516,0.008496968
34.382022472,0.009535220,0.008549377
36.404494382,0.009728509,0.008633040
38.426966292,0.009826959,0.008762501
40.449438202,0.010091037,0.008956612
42.471910112,0.010830246,0.009238504
44.494382022,0.011288498,0.009634782
46.516853933,0.011669823,0.010173700
48.539325843,0.012693475,0.010882134
50.561797753,0.013175458,0.011781400
52.584269663,0.013077553,0.012882237
54.606741573,0.014019709,0.014179591
56.629213483,0.014922628,0.015648136
58.651685393,0.015804668,0.017239622
60.674157303,0.016875348,0.018883043
62.696629213,0.019308247,0.020488345
64.719101124,0.021271887,0.021953716
66.741573034,0.023442367,0.023175872
68.764044944,0.025091080,0.024061930
70.786516854,0.025177431,0.024541036
72.808988764,0.025557784,0.024573719
74.831460674,0.025783929,0.024157256
76.853932584,0.023492820,0.023326052
78.876404494,0.021566385,0.022146942
80.898876404,0.020181279,0.020710322
82.921348315,0.018396795,0.019118730
84.943820225,0.016691886,0.017474875
86.966292135,0.015811219,0.015871036
88.988764045,0.014687412,0.014381273
91.011235955,0.013057495,0.013057201
93.033707865,0.011961404,0.011927337
95.056179775,0.011173271,0.010999407
97.078651685,0.009944108,0.010264631
99.101123596,0.009900949,0.009702892
101.123595506,0.009290635,0.009287832
103.146067416,0.008706516,0.008991181
105.168539326,0.008269316,0.008785956
107.191011236,0.008242398,0.008648456
109.213483146,0.008090073,0.008559195
111.235955056,0.007626978,0.008503030
113.258426966,0.007510283,0.008468765
115.280898876,0.007262627,0.008448490
117.303370787,0.007099263,0.008436852
119.325842697,0.006886372,0.008430370
121.348314607,0.006973808,0.008426867
123.370786517,0.007034170,0.008425029
125.393258427,0.006854327,0.008424093
127.415730337,0.006951554,0.008423630
129.438202247,0.006921753,0.008423408
131.460674157,0.006967873,0.008423305
133.483146067,0.006984410,0.008423258
135.505617978,0.007172632,0.008423237
137.528089888,0.007202250,0.008423228
139.550561798,0.007140617,0.008423225
141.573033708,0.007421264,0.008423223
143.595505618,0.007628831,0.008423223
145.617977528,0.007844846,0.008423222
147.640449438,0.008139553,0.008423222
149.662921348,0.008140573,0.008423222
151.685393258,0.008274732,0.008423222
153.707865169,0.008330773,0.008423222
155.730337079,0.008436594,0.008423222
157.752808989,0.008648120,0.008423222
159.775280899,0.008973079,0.008423222
161.797752809,0.008826129,0.008423222
163.820224719,0.008704218,0.008423222
165.842696629,0.008741552,0.008423222
167.865168539,0.009032021,0.008423222
169.887640449,0.009180418,0.008423222
171.910112360,0.009038864,0.008423222
173.932584270,0.009172866,0.008423222
175.955056180,0.009123559,0.008423222
177.977528090,0.008977321,0.008423222
180.000000000,0.009175768,0.008423222
