Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...cs/otherreplicates/unstamped_rep1_4x_stitched_stack-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...cs/otherreplicates/unstamped_rep1_4x_stitched_stack-MaxIP-fit
0.000000000,0.010733244,0.009150648
2.022471910,0.010581677,0.009157813
4.044943820,0.010604478,0.009167427
6.067415730,0.010227298,0.009180197
8.089887640,0.010344919,0.009196985
10.112359551,0.010603710,0.009218829
12.134831461,0.010417402,0.009246960
14.157303371,0.010657444,0.009282809
16.179775281,0.010697135,0.009328019
18.202247191,0.010806317,0.009384430
20.224719101,0.011200424,0.009454070
22.247191011,0.011706235,0.009539117
24.269662921,0.012090349,0.009641851
26.292134831,0.012514573,0.009764587
28.314606742,0.012284741,0.009909582
30.337078652,0.012109174,0.010078937
32.359550562,0.011968309,0.010274464
34.382022472,0.012922287,0.010497559
36.404494382,0.012795745,0.010749052
38.426966292,0.012201635,0.011029065
40.449438202,0.012297811,0.011336881
42.471910112,0.012360206,0.011670822
44.494382022,0.012186096,0.012028166
46.516853933,0.012419333,0.012405095
48.539325843,0.012432094,0.012796692
50.561797753,0.012365531,0.013196995
52.584269663,0.012286551,0.013599104
54.606741573,0.012680196,0.013995350
56.629213483,0.012736603,0.014377520
58.651685393,0.013136756,0.014737120
60.674157303,0.014179112,0.015065688
62.696629213,0.014630389,0.015355114
64.719101124,0.014624221,0.015597977
66.741573034,0.013643644,0.015787856
68.764044944,0.014066800,0.015919611
70.786516854,0.014137107,0.015989617
72.808988764,0.014918052,0.015995930
74.831460674,0.015927059,0.015938373
76.853932584,0.016540741,0.015818547
78.876404494,0.017687063,0.015639758
80.898876404,0.017605793,0.015406862
82.921348315,0.018464961,0.015126049
84.943820225,0.017065885,0.014804568
86.966292135,0.016862686,0.014450419
88.988764045,0.017051510,0.014072020
91.011235955,0.015548918,0.013677884
93.033707865,0.014247983,0.013276303
95.056179775,0.013094306,0.012875072
97.078651685,0.011952925,0.012481256
99.101123596,0.011217169,0.012101015
101.123595506,0.010715607,0.011739475
103.146067416,0.009731505,0.011400674
105.168539326,0.009109026,0.011087547
107.191011236,0.008718739,0.010801970
109.213483146,0.008452773,0.010544844
111.235955056,0.008620140,0.010316200
113.258426966,0.008105813,0.010115336
115.280898876,0.007821506,0.009940958
117.303370787,0.007778583,0.009791322
119.325842697,0.007461181,0.009664377
121.348314607,0.007614259,0.009557885
123.370786517,0.007830218,0.009469536
125.393258427,0.007245567,0.009397037
127.415730337,0.007119188,0.009338185
129.438202247,0.007424174,0.009290920
131.460674157,0.007550814,0.009253363
133.483146067,0.007120503,0.009223831
135.505617978,0.007893880,0.009200852
137.528089888,0.007721396,0.009183156
139.550561798,0.008134034,0.009169668
141.573033708,0.008461257,0.009159493
143.595505618,0.008529836,0.009151895
145.617977528,0.007978279,0.009146278
147.640449438,0.008253955,0.009142168
149.662921348,0.008425354,0.009139191
151.685393258,0.008379149,0.009137055
153.707865169,0.008334751,0.009135539
155.730337079,0.008386445,0.009134473
157.752808989,0.008805967,0.009133731
159.775280899,0.008709065,0.009133220
161.797752809,0.008875300,0.009132871
163.820224719,0.009276962,0.009132635
165.842696629,0.009349937,0.009132477
167.865168539,0.009900942,0.009132372
169.887640449,0.009939451,0.009132304
171.910112360,0.009779140,0.009132259
173.932584270,0.010037847,0.009132230
175.955056180,0.009955333,0.009132212
177.977528090,0.009884280,0.009132201
180.000000000,0.010733244,0.009132193
