Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...edpics/otherreplicates/unstamped_rep14x_fullWellFiltered,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...edpics/otherreplicates/unstamped_rep14x_fullWellFiltered-fit
0.000000000,0.008198392,0.007023585
2.022471910,0.006705603,0.007140009
4.044943820,0.007168973,0.007280473
6.067415730,0.007543584,0.007448435
8.089887640,0.007982062,0.007647478
10.112359551,0.008052662,0.007881213
12.134831461,0.007954979,0.008153166
14.157303371,0.008303541,0.008466641
16.179775281,0.009149694,0.008824557
18.202247191,0.009866969,0.009229285
20.224719101,0.009491930,0.009682457
22.247191011,0.010654868,0.010184784
24.269662921,0.011115386,0.010735874
26.292134831,0.012041673,0.011334071
28.314606742,0.011886247,0.011976315
30.337078652,0.013229650,0.012658042
32.359550562,0.013585355,0.013373129
34.382022472,0.014799904,0.014113900
36.404494382,0.015384344,0.014871188
38.426966292,0.015774012,0.015634475
40.449438202,0.015673439,0.016392086
42.471910112,0.017164669,0.017131463
44.494382022,0.018246870,0.017839486
46.516853933,0.018134279,0.018502850
48.539325843,0.018025818,0.019108470
50.561797753,0.017856641,0.019643909
52.584269663,0.019175079,0.020097797
54.606741573,0.019238439,0.020460234
56.629213483,0.020348731,0.020723147
58.651685393,0.020810684,0.020880588
60.674157303,0.021495450,0.020928960
62.696629213,0.022155435,0.020867153
64.719101124,0.022054775,0.020696585
66.741573034,0.020215449,0.020421150
68.764044944,0.020063463,0.020047068
70.786516854,0.019761204,0.019582653
72.808988764,0.018845693,0.019038005
74.831460674,0.018048207,0.018424647
76.853932584,0.017701828,0.017755117
78.876404494,0.018236179,0.017042550
80.898876404,0.017236995,0.016300250
82.921348315,0.017845468,0.015541287
84.943820225,0.015210475,0.014778128
86.966292135,0.013405518,0.014022319
88.988764045,0.013647603,0.013284223
91.011235955,0.012436806,0.012572831
93.033707865,0.010523366,0.011895631
95.056179775,0.010040738,0.011258554
97.078651685,0.009798024,0.010665977
99.101123596,0.009279192,0.010120782
101.123595506,0.008853234,0.009624463
103.146067416,0.008484693,0.009177268
105.168539326,0.007973743,0.008778363
107.191011236,0.008100889,0.008426015
109.213483146,0.008013008,0.008117780
111.235955056,0.008006384,0.007850678
113.258426966,0.007750006,0.007621373
115.280898876,0.007465939,0.007426321
117.303370787,0.007100100,0.007261909
119.325842697,0.006995563,0.007124565
121.348314607,0.007512685,0.007010849
123.370786517,0.007251681,0.006917525
125.393258427,0.006663491,0.006841603
127.415730337,0.007095700,0.006780372
129.438202247,0.006953283,0.006731413
131.460674157,0.007218157,0.006692601
133.483146067,0.006523144,0.006662094
135.505617978,0.008065627,0.006638317
137.528089888,0.006640611,0.006619940
139.550561798,0.007028517,0.006605857
141.573033708,0.006694129,0.006595153
143.595505618,0.007065778,0.006587086
145.617977528,0.006513940,0.006581055
147.640449438,0.006486029,0.006576584
149.662921348,0.006595667,0.006573297
151.685393258,0.006139562,0.006570900
153.707865169,0.006307629,0.006569166
155.730337079,0.005950572,0.006567922
157.752808989,0.006483436,0.006567036
159.775280899,0.005811724,0.006566411
161.797752809,0.005881292,0.006565974
163.820224719,0.006190136,0.006565670
165.842696629,0.006118739,0.006565461
167.865168539,0.006173060,0.006565318
169.887640449,0.006257436,0.006565221
171.910112360,0.006534915,0.006565155
173.932584270,0.006726640,0.006565112
175.955056180,0.006479481,0.006565083
177.977528090,0.006128646,0.006565064
180.000000000,0.008198392,0.006565052
