Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...cs/otherreplicates/unstamped_rep2_4x_stitched_stack-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...cs/otherreplicates/unstamped_rep2_4x_stitched_stack-MaxIP-fit
0.000000000,0.010564723,0.008397381
2.022471910,0.009896995,0.008397381
4.044943820,0.010334837,0.008397381
6.067415730,0.010100251,0.008397381
8.089887640,0.009899868,0.008397381
10.112359551,0.009565743,0.008397381
12.134831461,0.009428042,0.008397381
14.157303371,0.009010261,0.008397381
16.179775281,0.008820338,0.008397381
18.202247191,0.008659650,0.008397381
20.224719101,0.008253296,0.008397381
22.247191011,0.008086833,0.008397381
24.269662921,0.008362444,0.008397381
26.292134831,0.008317672,0.008397381
28.314606742,0.008068770,0.008397381
30.337078652,0.008186882,0.008397381
32.359550562,0.008310972,0.008397382
34.382022472,0.008346179,0.008397382
36.404494382,0.007921096,0.008397382
38.426966292,0.007476113,0.008397383
40.449438202,0.007550535,0.008397384
42.471910112,0.007289046,0.008397387
44.494382022,0.007268797,0.008397393
46.516853933,0.006650743,0.008397405
48.539325843,0.006984997,0.008397428
50.561797753,0.007024899,0.008397471
52.584269663,0.007312794,0.008397552
54.606741573,0.007091679,0.008397701
56.629213483,0.006940908,0.008397969
58.651685393,0.006882785,0.008398443
60.674157303,0.006836451,0.008399263
62.696629213,0.007057414,0.008400659
64.719101124,0.007188221,0.008402987
66.741573034,0.006946055,0.008406799
68.764044944,0.007059832,0.008412921
70.786516854,0.006900236,0.008422566
72.808988764,0.007073703,0.008437472
74.831460674,0.007298013,0.008460064
76.853932584,0.007107304,0.008493642
78.876404494,0.007266811,0.008542576
80.898876404,0.007432447,0.008612487
82.921348315,0.007604424,0.008710387
84.943820225,0.007937042,0.008844736
86.966292135,0.008653603,0.009025369
88.988764045,0.008795716,0.009263244
91.011235955,0.009367401,0.009569971
93.033707865,0.010284262,0.009957084
95.056179775,0.011493006,0.010435066
97.078651685,0.011329071,0.011012136
99.101123596,0.012403567,0.011692902
101.123595506,0.013333402,0.012476968
103.146067416,0.014151779,0.013357674
105.168539326,0.014805149,0.014321142
107.191011236,0.014636713,0.015345813
109.213483146,0.015049886,0.016402635
111.235955056,0.016408809,0.017456010
113.258426966,0.017590239,0.018465513
115.280898876,0.018854868,0.019388308
117.303370787,0.020225165,0.020182089
119.325842697,0.020844986,0.020808254
121.348314607,0.021337096,0.021235013
123.370786517,0.023646544,0.021440052
125.393258427,0.021586521,0.021412472
127.415730337,0.022088579,0.021153746
129.438202247,0.022316188,0.020677588
131.460674157,0.019360116,0.020008752
133.483146067,0.018529057,0.019180896
135.505617978,0.018017284,0.018233783
137.528089888,0.016351987,0.017210126
139.550561798,0.015109680,0.016152441
141.573033708,0.014158199,0.015100211
143.595505618,0.013022969,0.014087617
145.617977528,0.011937585,0.013142001
147.640449438,0.012765616,0.012283102
149.662921348,0.012102468,0.011523034
151.685393258,0.011180838,0.010866881
153.707865169,0.010019180,0.010313738
155.730337079,0.010381327,0.009858020
157.752808989,0.011286515,0.009490854
159.775280899,0.011136727,0.009201412
161.797752809,0.010930225,0.008978060
163.820224719,0.010214803,0.008809288
165.842696629,0.010172109,0.008684367
167.865168539,0.010046363,0.008593772
169.887640449,0.010369981,0.008529383
171.910112360,0.010555162,0.008484526
173.932584270,0.010413368,0.008453888
175.955056180,0.010185697,0.008433369
177.977528090,0.009669369,0.008419893
180.000000000,0.010564723,0.008411213
