Direction (°),125_sonication_5x_2_1_02,125_sonication_5x_2_1_02-fit
0.000000000,0.012072477,0.008852181
2.022471910,0.006345426,0.008852181
4.044943820,0.006435066,0.008852181
6.067415730,0.006756545,0.008852181
8.089887640,0.007525604,0.008852181
10.112359551,0.008465708,0.008852181
12.134831461,0.009191369,0.008852181
14.157303371,0.006730571,0.008852181
16.179775281,0.007145605,0.008852181
18.202247191,0.007429252,0.008852181
20.224719101,0.007286782,0.008852181
22.247191011,0.008682359,0.008852181
24.269662921,0.007865162,0.008852181
26.292134831,0.007864319,0.008852181
28.314606742,0.007988833,0.008852181
30.337078652,0.008206696,0.008852181
32.359550562,0.007890598,0.008852181
34.382022472,0.008401991,0.008852181
36.404494382,0.010455268,0.008852181
38.426966292,0.009322411,0.008852181
40.449438202,0.009170051,0.008852181
42.471910112,0.008773948,0.008852181
44.494382022,0.010019439,0.008852181
46.516853933,0.009154782,0.008852181
48.539325843,0.009528203,0.008852181
50.561797753,0.009503852,0.008852181
52.584269663,0.012655974,0.008852181
54.606741573,0.010652332,0.008852181
56.629213483,0.010531358,0.008852181
58.651685393,0.011560551,0.008852181
60.674157303,0.011106742,0.008852181
62.696629213,0.011250499,0.008852181
64.719101124,0.011532995,0.008852181
66.741573034,0.012390603,0.008852181
68.764044944,0.013955665,0.008852181
70.786516854,0.011860491,0.008852181
72.808988764,0.011971993,0.008852181
74.831460674,0.012374527,0.008852181
76.853932584,0.012523384,0.008852182
78.876404494,0.015662863,0.008852209
80.898876404,0.012779632,0.008852641
82.921348315,0.012545946,0.008857818
84.943820225,0.012396567,0.008902985
86.966292135,0.012929151,0.009188696
88.988764045,0.017412949,0.010490292
91.011235955,0.017976932,0.014712472
93.033707865,0.029915747,0.024259671
95.056179775,0.026148299,0.038622349
97.078651685,0.056511926,0.051125601
99.101123596,0.055343974,0.052967579
101.123595506,0.041207726,0.042685900
103.146067416,0.026464975,0.027921974
105.168539326,0.016256643,0.016751305
107.191011236,0.011805427,0.011256813
109.213483146,0.009550528,0.009390147
111.235955056,0.009565242,0.008940631
113.258426966,0.007876317,0.008862869
115.280898876,0.007775289,0.008853130
117.303370787,0.007204705,0.008852243
119.325842697,0.007502829,0.008852184
121.348314607,0.007640543,0.008852181
123.370786517,0.007122350,0.008852181
125.393258427,0.006832539,0.008852181
127.415730337,0.007616513,0.008852181
129.438202247,0.006490978,0.008852181
131.460674157,0.006664469,0.008852181
133.483146067,0.006746414,0.008852181
135.505617978,0.007847139,0.008852181
137.528089888,0.007102078,0.008852181
139.550561798,0.006635395,0.008852181
141.573033708,0.006577593,0.008852181
143.595505618,0.007201597,0.008852181
145.617977528,0.006342780,0.008852181
147.640449438,0.006837420,0.008852181
149.662921348,0.006868491,0.008852181
151.685393258,0.006918337,0.008852181
153.707865169,0.006644038,0.008852181
155.730337079,0.006670566,0.008852181
157.752808989,0.007253960,0.008852181
159.775280899,0.006501880,0.008852181
161.797752809,0.006745590,0.008852181
163.820224719,0.006339413,0.008852181
165.842696629,0.006325269,0.008852181
167.865168539,0.008257105,0.008852181
169.887640449,0.007520111,0.008852181
171.910112360,0.006631125,0.008852181
173.932584270,0.006850030,0.008852181
175.955056180,0.006616049,0.008852181
177.977528090,0.006714654,0.008852181
180.000000000,0.012072477,0.008852181
