Direction (°),frame_0210,frame_0210-fit
0.000000000,0.003474865,0.003805790
2.022471910,0.003323913,0.003805794
4.044943820,0.003358204,0.003805802
6.067415730,0.003436169,0.003805821
8.089887640,0.003669561,0.003805862
10.112359551,0.003889942,0.003805948
12.134831461,0.003988199,0.003806124
14.157303371,0.003924666,0.003806478
16.179775281,0.003932242,0.003807170
18.202247191,0.004074523,0.003808496
20.224719101,0.004330508,0.003810971
22.247191011,0.004489710,0.003815487
24.269662921,0.005115274,0.003823528
26.292134831,0.004927590,0.003837504
28.314606742,0.004961324,0.003861214
30.337078652,0.005317782,0.003900469
32.359550562,0.005804248,0.003963887
34.382022472,0.005822263,0.004063845
36.404494382,0.006440326,0.004217522
38.426966292,0.006397254,0.004447938
40.449438202,0.007438475,0.004784766
42.471910112,0.008445400,0.005264693
44.494382022,0.008454119,0.005930983
46.516853933,0.009304314,0.006831920
48.539325843,0.010508231,0.008017848
50.561797753,0.012535085,0.009536633
52.584269663,0.013639583,0.011427637
54.606741573,0.016457228,0.013714554
56.629213483,0.018590551,0.016397834
58.651685393,0.020112343,0.019447726
60.674157303,0.023598244,0.022799172
62.696629213,0.027515408,0.026349823
64.719101124,0.027369634,0.029962220
66.741573034,0.029836984,0.033470688
68.764044944,0.032256845,0.036692829
70.786516854,0.036055857,0.039444683
72.808988764,0.037712202,0.041557896
74.831460674,0.039665425,0.042896692
76.853932584,0.044091689,0.043372298
78.876404494,0.050747564,0.042952681
80.898876404,0.047965071,0.041666118
82.921348315,0.039661097,0.039598040
84.943820225,0.039650643,0.036881650
86.966292135,0.035294665,0.033683743
88.988764045,0.032159533,0.030187810
91.011235955,0.025326571,0.026576826
93.033707865,0.020368242,0.023017900
95.056179775,0.014967668,0.019650520
97.078651685,0.013958439,0.016579357
99.101123596,0.012725904,0.013871792
101.123595506,0.009278256,0.011559676
103.146067416,0.008096624,0.009644263
105.168539326,0.007425170,0.008103100
107.191011236,0.007005707,0.006897591
109.213483146,0.006018062,0.005980212
111.235955056,0.005723311,0.005300626
113.258426966,0.005075542,0.004810315
115.280898876,0.004645840,0.004465640
117.303370787,0.004514519,0.004229479
119.325842697,0.004056357,0.004071719
121.348314607,0.003912095,0.003968945
123.370786517,0.003774084,0.003903638
125.393258427,0.003659098,0.003863151
127.415730337,0.003513321,0.003838659
129.438202247,0.003146325,0.003824200
131.460674157,0.003281579,0.003815869
133.483146067,0.003000415,0.003811183
135.505617978,0.003040789,0.003808610
137.528089888,0.003191709,0.003807231
139.550561798,0.002934220,0.003806509
141.573033708,0.002648401,0.003806140
143.595505618,0.002643559,0.003805956
145.617977528,0.002484747,0.003805866
147.640449438,0.002773934,0.003805823
149.662921348,0.002730258,0.003805803
151.685393258,0.002693226,0.003805794
153.707865169,0.002545473,0.003805790
155.730337079,0.002723332,0.003805788
157.752808989,0.002701280,0.003805788
159.775280899,0.002995711,0.003805787
161.797752809,0.002860162,0.003805787
163.820224719,0.002817490,0.003805787
165.842696629,0.003152735,0.003805787
167.865168539,0.002951009,0.003805787
169.887640449,0.002994798,0.003805787
171.910112360,0.003222869,0.003805787
173.932584270,0.002915615,0.003805787
175.955056180,0.003211735,0.003805787
177.977528090,0.003074198,0.003805787
180.000000000,0.003474865,0.003805787
