Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/unstamped_rep1_4x-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/unstamped_rep1_4x-MaxIP-fit
0.000000000,0.013154496,0.010392872
2.022471910,0.012766019,0.010392872
4.044943820,0.012314450,0.010392872
6.067415730,0.012276097,0.010392872
8.089887640,0.012049169,0.010392872
10.112359551,0.012198309,0.010392872
12.134831461,0.011825373,0.010392872
14.157303371,0.011834667,0.010392872
16.179775281,0.011541070,0.010392872
18.202247191,0.011516195,0.010392872
20.224719101,0.011471753,0.010392872
22.247191011,0.011266314,0.010392872
24.269662921,0.010920074,0.010392872
26.292134831,0.010777574,0.010392872
28.314606742,0.010590515,0.010392872
30.337078652,0.010602227,0.010392872
32.359550562,0.010321710,0.010392872
34.382022472,0.010236582,0.010392872
36.404494382,0.009977263,0.010392872
38.426966292,0.009933241,0.010392872
40.449438202,0.009974425,0.010392872
42.471910112,0.009596952,0.010392872
44.494382022,0.009897249,0.010392872
46.516853933,0.009657431,0.010392872
48.539325843,0.009806921,0.010392872
50.561797753,0.009565263,0.010392872
52.584269663,0.009362932,0.010392872
54.606741573,0.009359876,0.010392872
56.629213483,0.009232328,0.010392872
58.651685393,0.009572806,0.010392872
60.674157303,0.009297461,0.010392872
62.696629213,0.009313956,0.010392872
64.719101124,0.009260687,0.010392872
66.741573034,0.009397637,0.010392872
68.764044944,0.009542270,0.010392872
70.786516854,0.009452718,0.010392872
72.808988764,0.009480917,0.010392872
74.831460674,0.009660523,0.010392872
76.853932584,0.010133859,0.010392873
78.876404494,0.010018652,0.010392873
80.898876404,0.010055610,0.010392875
82.921348315,0.010357658,0.010392879
84.943820225,0.010523833,0.010392885
86.966292135,0.010682112,0.010392897
88.988764045,0.010485908,0.010392919
91.011235955,0.010742432,0.010392958
93.033707865,0.010393923,0.010393028
95.056179775,0.010401918,0.010393148
97.078651685,0.010485985,0.010393354
99.101123596,0.010216743,0.010393699
101.123595506,0.010089529,0.010394267
103.146067416,0.010033408,0.010395186
105.168539326,0.010142656,0.010396648
107.191011236,0.010282233,0.010398930
109.213483146,0.009996977,0.010402431
111.235955056,0.009995630,0.010407705
113.258426966,0.010170918,0.010415505
115.280898876,0.010055497,0.010426836
117.303370787,0.010106147,0.010442995
119.325842697,0.010012874,0.010465614
121.348314607,0.010183496,0.010496689
123.370786517,0.010505877,0.010538584
125.393258427,0.010306696,0.010593993
127.415730337,0.010718361,0.010665870
129.438202247,0.010421600,0.010757290
131.460674157,0.010585447,0.010871258
133.483146067,0.010816998,0.011010455
135.505617978,0.011192441,0.011176934
137.528089888,0.011403823,0.011371785
139.550561798,0.011752041,0.011594794
141.573033708,0.012085033,0.011844137
143.595505618,0.012514801,0.012116152
145.617977528,0.012613724,0.012405221
147.640449438,0.012755568,0.012703814
149.662921348,0.012912938,0.013002709
151.685393258,0.013052420,0.013291391
153.707865169,0.013561423,0.013558627
155.730337079,0.013619535,0.013793170
157.752808989,0.013905388,0.013984531
159.775280899,0.013941035,0.014123754
161.797752809,0.014376752,0.014204114
163.820224719,0.014814209,0.014221647
165.842696629,0.014189945,0.014175483
167.865168539,0.013864402,0.014067911
169.887640449,0.013867263,0.013904194
171.910112360,0.013267080,0.013692142
173.932584270,0.013254361,0.013441493
175.955056180,0.012980342,0.013163176
177.977528090,0.012992551,0.012868525
180.000000000,0.013154496,0.012568530
