Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/125_rep1_4x-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/125_rep1_4x-MaxIP-fit
0.000000000,0.010485098,0.010010362
2.022471910,0.010376853,0.010010362
4.044943820,0.010398816,0.010010362
6.067415730,0.010311416,0.010010362
8.089887640,0.010425824,0.010010362
10.112359551,0.010255277,0.010010362
12.134831461,0.010027693,0.010010362
14.157303371,0.010052039,0.010010362
16.179775281,0.010235327,0.010010362
18.202247191,0.010192081,0.010010362
20.224719101,0.010034060,0.010010362
22.247191011,0.009918932,0.010010362
24.269662921,0.009898805,0.010010362
26.292134831,0.009844608,0.010010363
28.314606742,0.009698261,0.010010363
30.337078652,0.009669776,0.010010363
32.359550562,0.009693386,0.010010366
34.382022472,0.009803461,0.010010372
36.404494382,0.009737535,0.010010388
38.426966292,0.009771302,0.010010431
40.449438202,0.009806296,0.010010540
42.471910112,0.009882653,0.010010801
44.494382022,0.009995284,0.010011405
46.516853933,0.010003018,0.010012744
48.539325843,0.009972482,0.010015589
50.561797753,0.010438693,0.010021384
52.584269663,0.010446802,0.010032691
54.606741573,0.010340142,0.010053818
56.629213483,0.010607360,0.010091615
58.651685393,0.010581851,0.010156318
60.674157303,0.010931891,0.010262247
62.696629213,0.010976600,0.010427980
64.719101124,0.011199924,0.010675559
66.741573034,0.011580644,0.011028292
68.764044944,0.012202538,0.011506878
70.786516854,0.012145629,0.012124047
72.808988764,0.012770618,0.012878467
74.831460674,0.013410380,0.013749277
76.853932584,0.014325646,0.014693014
78.876404494,0.015584044,0.015644582
80.898876404,0.016140510,0.016523219
82.921348315,0.016766666,0.017243137
84.943820225,0.017337403,0.017727107
86.966292135,0.018428330,0.017920044
88.988764045,0.018676199,0.017799325
91.011235955,0.017861920,0.017379149
93.033707865,0.016942116,0.016707790
95.056179775,0.015485502,0.015858476
97.078651685,0.014401309,0.014916270
99.101123596,0.013850278,0.013964198
101.123595506,0.012819270,0.013071717
103.146067416,0.012160251,0.012287579
105.168539326,0.011723202,0.011637749
107.191011236,0.011368532,0.011127670
109.213483146,0.010902780,0.010747334
111.235955056,0.010346986,0.010477371
113.258426966,0.010130678,0.010294674
115.280898876,0.009986778,0.010176650
117.303370787,0.009639571,0.010103800
119.325842697,0.009808044,0.010060803
121.348314607,0.009537136,0.010036522
123.370786517,0.009477705,0.010023396
125.393258427,0.009620882,0.010016601
127.415730337,0.009451003,0.010013232
129.438202247,0.009371442,0.010011630
131.460674157,0.009349737,0.010010900
133.483146067,0.009354106,0.010010582
135.505617978,0.009580374,0.010010448
137.528089888,0.009645673,0.010010395
139.550561798,0.009493051,0.010010374
141.573033708,0.009671541,0.010010366
143.595505618,0.009519498,0.010010364
145.617977528,0.009751138,0.010010363
147.640449438,0.009722227,0.010010363
149.662921348,0.009698892,0.010010362
151.685393258,0.009802100,0.010010362
153.707865169,0.009840476,0.010010362
155.730337079,0.009973812,0.010010362
157.752808989,0.010151835,0.010010362
159.775280899,0.010049345,0.010010362
161.797752809,0.010299081,0.010010362
163.820224719,0.010136463,0.010010362
165.842696629,0.010469498,0.010010362
167.865168539,0.010463216,0.010010362
169.887640449,0.010570129,0.010010362
171.910112360,0.010172706,0.010010362
173.932584270,0.010591693,0.010010362
175.955056180,0.010498629,0.010010362
177.977528090,0.010442142,0.010010362
180.000000000,0.010485098,0.010010362
