Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...7goodIF/4xstitchedimages/flat_rep34x_fullWellFiltered,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...7goodIF/4xstitchedimages/flat_rep34x_fullWellFiltered-fit
0.000000000,0.029903900,0.010581967
2.022471910,0.002993322,0.010581967
4.044943820,0.009000114,0.010581967
6.067415730,0.012066196,0.010581967
8.089887640,0.006170585,0.010581967
10.112359551,0.003815993,0.010581967
12.134831461,0.017664736,0.010581967
14.157303371,0.006093525,0.010581967
16.179775281,0.003615676,0.010581967
18.202247191,0.017344530,0.010581967
20.224719101,0.010050264,0.010581967
22.247191011,0.002474112,0.010581967
24.269662921,0.010098891,0.010581967
26.292134831,0.008593476,0.010581967
28.314606742,0.013838464,0.010581967
30.337078652,0.008613059,0.010581967
32.359550562,0.009093540,0.010581967
34.382022472,0.018801529,0.010581967
36.404494382,0.003694930,0.010581967
38.426966292,0.021629721,0.010581967
40.449438202,0.002047652,0.010581967
42.471910112,0.002849547,0.010581967
44.494382022,0.051402924,0.010581967
46.516853933,0.000473111,0.010581967
48.539325843,0.010113961,0.010581967
50.561797753,0.014862129,0.010581967
52.584269663,0.012125814,0.010581967
54.606741573,0.022030103,0.010581967
56.629213483,0.004103036,0.010581967
58.651685393,0.011753970,0.010581967
60.674157303,0.012217074,0.010581967
62.696629213,0.015382609,0.010581967
64.719101124,0.003052115,0.010581967
66.741573034,0.008879600,0.010581967
68.764044944,0.021551915,0.010581967
70.786516854,0.001540169,0.010581967
72.808988764,0.004721806,0.010581967
74.831460674,0.017096524,0.010581967
76.853932584,0.010716089,0.010581967
78.876404494,0.002997964,0.010581967
80.898876404,0.009969930,0.010581967
82.921348315,0.017451415,0.010581967
84.943820225,0.002102036,0.010581967
86.966292135,0.005710361,0.010581967
88.988764045,0.034205668,0.010581967
91.011235955,0.005580575,0.010581967
93.033707865,0.002011829,0.010581967
95.056179775,0.018244133,0.010581967
97.078651685,0.010583231,0.010581967
99.101123596,0.003084291,0.010581967
101.123595506,0.011483626,0.010581967
103.146067416,0.018098344,0.010581967
105.168539326,0.005170670,0.010581967
107.191011236,0.001551792,0.010581967
109.213483146,0.022563503,0.010581967
111.235955056,0.009122042,0.010581967
113.258426966,0.003210870,0.010581967
115.280898876,0.016893152,0.010581967
117.303370787,0.012855675,0.010581967
119.325842697,0.012702135,0.010581967
121.348314607,0.004490297,0.010581967
123.370786517,0.023787179,0.010581967
125.393258427,0.013301169,0.010581967
127.415730337,0.016782061,0.010581967
129.438202247,0.011421253,0.010581967
131.460674157,0.000511414,0.010581967
133.483146067,0.058204922,0.058204922
135.505617978,0.002942182,0.010581967
137.528089888,0.002210461,0.010581967
139.550561798,0.023819652,0.010581967
141.573033708,0.003872792,0.010581967
143.595505618,0.020815081,0.010581967
145.617977528,0.009675838,0.010581967
147.640449438,0.009399669,0.010581967
149.662921348,0.013733836,0.010581967
151.685393258,0.009260743,0.010581967
153.707865169,0.010611015,0.010581967
155.730337079,0.002592926,0.010581967
157.752808989,0.010752004,0.010581967
159.775280899,0.018428143,0.010581967
161.797752809,0.003711981,0.010581967
163.820224719,0.006427289,0.010581967
165.842696629,0.018288369,0.010581967
167.865168539,0.003967806,0.010581967
169.887640449,0.006125792,0.010581967
171.910112360,0.012038871,0.010581967
173.932584270,0.009164517,0.010581967
175.955056180,0.003215408,0.010581967
177.977528090,0.002377375,0.010581967
180.000000000,0.000000000,0.010581967
