Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/12pt5_rep3_4x-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/12pt5_rep3_4x-MaxIP-fit
0.000000000,0.008694320,0.009030550
2.022471910,0.008631315,0.009030573
4.044943820,0.008564734,0.009030612
6.067415730,0.008343876,0.009030679
8.089887640,0.008344699,0.009030792
10.112359551,0.008307969,0.009030978
12.134831461,0.008427321,0.009031280
14.157303371,0.008264798,0.009031765
16.179775281,0.008157398,0.009032534
18.202247191,0.008284808,0.009033732
20.224719101,0.008221939,0.009035576
22.247191011,0.008005100,0.009038373
24.269662921,0.008240451,0.009042553
26.292134831,0.008288967,0.009048713
28.314606742,0.008066792,0.009057661
30.337078652,0.008137816,0.009070468
32.359550562,0.008221111,0.009088537
34.382022472,0.008201826,0.009113654
36.404494382,0.008367060,0.009148059
38.426966292,0.008651499,0.009194488
40.449438202,0.008550085,0.009256208
42.471910112,0.008787952,0.009337022
44.494382022,0.009124325,0.009441227
46.516853933,0.009137749,0.009573527
48.539325843,0.009434669,0.009738877
50.561797753,0.009484642,0.009942264
52.584269663,0.009883271,0.010188413
54.606741573,0.009790751,0.010481421
56.629213483,0.010156067,0.010824351
58.651685393,0.010678765,0.011218782
60.674157303,0.011381066,0.011664371
62.696629213,0.012073838,0.012158452
64.719101124,0.012069724,0.012695718
66.741573034,0.012436333,0.013268041
68.764044944,0.013569695,0.013864451
70.786516854,0.014261609,0.014471326
72.808988764,0.015341135,0.015072790
74.831460674,0.015942939,0.015651331
76.853932584,0.016592398,0.016188597
78.876404494,0.016780586,0.016666341
80.898876404,0.018155452,0.017067434
82.921348315,0.019430159,0.017376878
84.943820225,0.019155419,0.017582740
86.966292135,0.018715469,0.017676912
88.988764045,0.017892455,0.017655639
91.011235955,0.016838839,0.017519773
93.033707865,0.016067034,0.017274710
95.056179775,0.016337886,0.016930039
97.078651685,0.015638383,0.016498919
99.101123596,0.015034374,0.015997242
101.123595506,0.014100368,0.015442670
103.146067416,0.013705877,0.014853603
105.168539326,0.013165652,0.014248189
107.191011236,0.013091090,0.013643421
109.213483146,0.012905492,0.013054409
111.235955056,0.012758389,0.012493834
113.258426966,0.012520710,0.011971635
115.280898876,0.012102248,0.011494893
117.303370787,0.011803509,0.011067913
119.325842697,0.011773573,0.010692468
121.348314607,0.011532305,0.010368145
123.370786517,0.011680174,0.010092766
125.393258427,0.011115710,0.009862840
127.415730337,0.011074841,0.009673992
129.438202247,0.010945368,0.009521363
131.460674157,0.010739803,0.009399949
133.483146067,0.010667198,0.009304862
135.505617978,0.010314050,0.009231535
137.528089888,0.010305406,0.009175844
139.550561798,0.010549282,0.009134183
141.573033708,0.010264592,0.009103479
143.595505618,0.010182895,0.009081186
145.617977528,0.010151795,0.009065235
147.640449438,0.009958065,0.009053989
149.662921348,0.009958070,0.009046175
151.685393258,0.009681481,0.009040823
153.707865169,0.009795610,0.009037211
155.730337079,0.009708837,0.009034807
157.752808989,0.009650055,0.009033230
159.775280899,0.009371130,0.009032211
161.797752809,0.009285510,0.009031560
163.820224719,0.009248570,0.009031152
165.842696629,0.009165763,0.009030899
167.865168539,0.009189181,0.009030744
169.887640449,0.009015021,0.009030650
171.910112360,0.008702512,0.009030595
173.932584270,0.008644877,0.009030563
175.955056180,0.008597750,0.009030544
177.977528090,0.008716057,0.009030533
180.000000000,0.008694320,0.009030527
