Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/62pt5_rep3_4x-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/62pt5_rep3_4x-MaxIP-fit
0.000000000,0.010649569,0.010127426
2.022471910,0.010526248,0.010127428
4.044943820,0.010689301,0.010127430
6.067415730,0.010787059,0.010127436
8.089887640,0.010374786,0.010127447
10.112359551,0.010369692,0.010127467
12.134831461,0.010517901,0.010127506
14.157303371,0.010636083,0.010127578
16.179775281,0.010568008,0.010127709
18.202247191,0.010371070,0.010127941
20.224719101,0.010169871,0.010128347
22.247191011,0.010357476,0.010129040
24.269662921,0.010516115,0.010130203
26.292134831,0.010431570,0.010132111
28.314606742,0.010266251,0.010135184
30.337078652,0.010097067,0.010140028
32.359550562,0.010338198,0.010147513
34.382022472,0.010169082,0.010158841
36.404494382,0.010294365,0.010175631
38.426966292,0.010329527,0.010200004
40.449438202,0.010278219,0.010234644
42.471910112,0.010337831,0.010282837
44.494382022,0.010801840,0.010348454
46.516853933,0.010949386,0.010435860
48.539325843,0.010906357,0.010549734
50.561797753,0.010908921,0.010694772
52.584269663,0.011324714,0.010875281
54.606741573,0.011315841,0.011094676
56.629213483,0.011738515,0.011354897
58.651685393,0.011746730,0.011655820
60.674157303,0.011995261,0.011994713
62.696629213,0.012280750,0.012365827
64.719101124,0.012530915,0.012760217
66.741573034,0.013112592,0.013165836
68.764044944,0.013629179,0.013567975
70.786516854,0.013654563,0.013950041
72.808988764,0.014259629,0.014294631
74.831460674,0.013981701,0.014584817
76.853932584,0.014536389,0.014805509
78.876404494,0.014880734,0.014944759
80.898876404,0.015164269,0.014994825
82.921348315,0.015065634,0.014952885
84.943820225,0.015159555,0.014821303
86.966292135,0.014899303,0.014607409
88.988764045,0.014200113,0.014322817
91.011235955,0.013675125,0.013982387
93.033707865,0.013590023,0.013602940
95.056179775,0.013855547,0.013201891
97.078651685,0.013445936,0.012795953
99.101123596,0.012597459,0.012400036
101.123595506,0.011898808,0.012026447
103.146067416,0.011494344,0.011684417
105.168539326,0.011367559,0.011379973
107.191011236,0.010708084,0.011116101
109.213483146,0.010430417,0.010893136
111.235955056,0.010134263,0.010709296
113.258426966,0.010234193,0.010561276
115.280898876,0.010105396,0.010444824
117.303370787,0.010156619,0.010355261
119.325842697,0.010003791,0.010287894
121.348314607,0.009732009,0.010238320
123.370786517,0.009566253,0.010202619
125.393258427,0.009601219,0.010177452
127.415730337,0.009643856,0.010160082
129.438202247,0.009702537,0.010148342
131.460674157,0.009588809,0.010140571
133.483146067,0.009620701,0.010135531
135.505617978,0.009727814,0.010132330
137.528089888,0.009164998,0.010130337
139.550561798,0.009454929,0.010129121
141.573033708,0.009584407,0.010128394
143.595505618,0.009462016,0.010127969
145.617977528,0.009560514,0.010127724
147.640449438,0.009609348,0.010127587
149.662921348,0.009652507,0.010127511
151.685393258,0.009804511,0.010127470
153.707865169,0.009982960,0.010127448
155.730337079,0.010231993,0.010127437
157.752808989,0.010164076,0.010127431
159.775280899,0.009897540,0.010127428
161.797752809,0.010328141,0.010127426
163.820224719,0.010282332,0.010127426
165.842696629,0.010339205,0.010127425
167.865168539,0.010153802,0.010127425
169.887640449,0.010572623,0.010127425
171.910112360,0.010606511,0.010127425
173.932584270,0.010443686,0.010127425
175.955056180,0.010517092,0.010127425
177.977528090,0.010538302,0.010127425
180.000000000,0.010649569,0.010127425
