Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/12pt5_rep1_4x-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/12pt5_rep1_4x-MaxIP-fit
0.000000000,0.008901995,0.009104379
2.022471910,0.008694392,0.009104509
4.044943820,0.008935466,0.009104724
6.067415730,0.009014623,0.009105075
8.089887640,0.008992634,0.009105641
10.112359551,0.009027313,0.009106538
12.134831461,0.009130014,0.009107940
14.157303371,0.009202680,0.009110098
16.179775281,0.009333174,0.009113373
18.202247191,0.009397203,0.009118270
20.224719101,0.009375226,0.009125484
22.247191011,0.009368623,0.009135953
24.269662921,0.009457674,0.009150919
26.292134831,0.009824584,0.009171996
28.314606742,0.009861194,0.009201229
30.337078652,0.009966297,0.009241159
32.359550562,0.010228480,0.009294865
34.382022472,0.010299236,0.009365987
36.404494382,0.010453629,0.009458703
38.426966292,0.010938846,0.009577662
40.449438202,0.010545673,0.009727855
42.471910112,0.011082875,0.009914413
44.494382022,0.010839798,0.010142322
46.516853933,0.010885199,0.010416076
48.539325843,0.011460636,0.010739252
50.561797753,0.011636270,0.011114058
52.584269663,0.012150123,0.011540856
54.606741573,0.012306417,0.012017718
56.629213483,0.012722408,0.012540066
58.651685393,0.012800100,0.013100422
60.674157303,0.013654256,0.013688341
62.696629213,0.013768154,0.014290542
64.719101124,0.013927185,0.014891277
66.741573034,0.014160889,0.015472922
68.764044944,0.015209094,0.016016780
70.786516854,0.015589728,0.016504052
72.808988764,0.016174275,0.016916894
74.831460674,0.016576676,0.017239498
76.853932584,0.017557579,0.017459096
78.876404494,0.018053528,0.017566795
80.898876404,0.018477380,0.017558175
82.921348315,0.018931762,0.017433592
84.943820225,0.018484538,0.017198151
86.966292135,0.018402106,0.016861360
88.988764045,0.017107817,0.016436493
91.011235955,0.015850588,0.015939724
93.033707865,0.014873381,0.015389105
95.056179775,0.013924524,0.014803487
97.078651685,0.013379072,0.014201465
99.101123596,0.013125116,0.013600434
101.123595506,0.012401951,0.013015809
103.146067416,0.012228219,0.012460470
105.168539326,0.011343280,0.011944428
107.191011236,0.011203845,0.011474725
109.213483146,0.011066507,0.011055529
111.235955056,0.010721753,0.010688406
113.258426966,0.010342824,0.010372691
115.280898876,0.010028429,0.010105947
117.303370787,0.009925789,0.009884432
119.325842697,0.009799273,0.009703555
121.348314607,0.009736921,0.009558287
123.370786517,0.009626740,0.009443503
125.393258427,0.009190936,0.009354253
127.415730337,0.009327148,0.009285948
129.438202247,0.009277671,0.009234487
131.460674157,0.009282613,0.009196314
133.483146067,0.009213016,0.009168431
135.505617978,0.008975637,0.009148373
137.528089888,0.008990007,0.009134161
139.550561798,0.008988776,0.009124242
141.573033708,0.008662787,0.009117422
143.595505618,0.008955742,0.009112803
145.617977528,0.008742634,0.009109720
147.640449438,0.008883166,0.009107693
149.662921348,0.008910031,0.009106379
151.685393258,0.008693724,0.009105540
153.707865169,0.008763531,0.009105012
155.730337079,0.008825559,0.009104685
157.752808989,0.008534521,0.009104485
159.775280899,0.008474465,0.009104365
161.797752809,0.008675924,0.009104293
163.820224719,0.008745885,0.009104251
165.842696629,0.008741984,0.009104227
167.865168539,0.008745411,0.009104213
169.887640449,0.008732040,0.009104205
171.910112360,0.008556218,0.009104201
173.932584270,0.008409834,0.009104199
175.955056180,0.008569879,0.009104198
177.977528090,0.008742906,0.009104197
180.000000000,0.008901995,0.009104197
