direction,value,Stamp_Parameters,rep
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
0.0,0.008901995,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
2.02247191,0.008694392,12.5,1
4.04494382,0.008935466,12.5,1
4.04494382,0.008935466,12.5,1
4.04494382,0.008935466,12.5,1
4.04494382,0.008935466,12.5,1
4.04494382,0.008935466,12.5,1
4.04494382,0.008935466,12.5,1
4.04494382,0.008935466,12.5,1
4.04494382,0.008935466,12.5,1
4.04494382,0.008935466,12.5,1
4.04494382,0.008935466,12.5,1
4.04494382,0.008935466,12.5,1
4.04494382,0.008935466,12.5,1
4.04494382,0.008935466,12.5,1
4.04494382,0.008935466,12.5,1
4.04494382,0.008935466,12.5,1
4.04494382,0.008935466,12.5,1
4.04494382,0.008935466,12.5,1
4.04494382,0.008935466,12.5,1
4.04494382,0.008935466,12.5,1
