Stamp_Parameters,rep,location,mean_angle,stdd,goodness_of_fit,percent_near90,Category
12.5,1,,76.42910364861572,38.34031215083388,0.1678239869270639,0.329310006,grooved
12.5,2,,50.59921687548903,9.863229760773358,0.0439704553418531,0.2560374359999999,grooved
12.5,3,,80.07426868438594,38.68272461592228,0.1838041352851906,0.345904293,grooved
25,1,,83.95105033581831,56.76767506245717,0.1313353931785593,0.3042949989999999,grooved
25,2,,81.75617076582557,58.410391103577815,0.1238466474786432,0.290673072,grooved
25,3,,79.75408894688128,58.68788685881649,0.1224377055988691,0.290410864,grooved
62.5,1,,81.55567612997403,61.07079242986877,0.108668403759237,0.281256113,grooved
62.5,2,,82.51731332996758,65.4664828481382,0.091453962410398,0.274370504,grooved
62.5,3,,82.05927463055454,65.9136711676957,0.0880462926131564,0.274824155,grooved
125,1,,84.19838739063435,58.07892332114664,0.1220339374973357,0.298261043,grooved
125,2,,79.33987948327469,67.40415181166703,0.0857890678858877,0.265451431,grooved
125,3,,81.2720937185127,58.014644933005656,0.124374714925971,0.297838787,grooved
flat,1,,133.60307643487192,7.186333653505997,0.0349635272143786,0.182950566,ungrooved
flat,2,,133.43785271823037,0.3735151324575155,0.1815963174580898,0.152455088,ungrooved
flat,3,,134.59916202509297,8.9705775656944,0.0481693564157208,0.169894757,ungrooved
unstamped,1,,44.2489463297421,0.3135092862367455,0.2405556612219225,0.17647362,ungrooved
unstamped,2,,47.54151533368485,8.896801524833057,0.0450009680379455,0.2161310119999999,ungrooved
unstamped,3,,133.48595637679128,0.3343679459663539,0.2651001123942316,0.20387236799999994,ungrooved
