Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/62pt5_rep2_4x-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/62pt5_rep2_4x-MaxIP-fit
0.000000000,0.008966862,0.009327351
2.022471910,0.008998191,0.009327421
4.044943820,0.008816348,0.009327532
6.067415730,0.009055828,0.009327705
8.089887640,0.009022236,0.009327972
10.112359551,0.009036786,0.009328379
12.134831461,0.009047669,0.009328994
14.157303371,0.009052937,0.009329911
16.179775281,0.009020089,0.009331261
18.202247191,0.008992577,0.009333228
20.224719101,0.009060855,0.009336060
22.247191011,0.008989633,0.009340088
24.269662921,0.009247138,0.009345752
26.292134831,0.008952955,0.009353620
28.314606742,0.009149158,0.009364423
30.337078652,0.009493711,0.009379076
32.359550562,0.009339866,0.009398716
34.382022472,0.009594220,0.009424721
36.404494382,0.009776321,0.009458735
38.426966292,0.009765120,0.009502681
40.449438202,0.009785015,0.009558759
42.471910112,0.010042895,0.009629426
44.494382022,0.010133181,0.009717357
46.516853933,0.010294083,0.009825375
48.539325843,0.010255584,0.009956360
50.561797753,0.010522296,0.010113112
52.584269663,0.010594646,0.010298205
54.606741573,0.010520040,0.010513795
56.629213483,0.010785061,0.010761424
58.651685393,0.011042458,0.011041809
60.674157303,0.011149267,0.011354633
62.696629213,0.011458742,0.011698360
64.719101124,0.011797893,0.012070091
66.741573034,0.011905686,0.012465462
68.764044944,0.012278297,0.012878627
70.786516854,0.012762744,0.013302314
72.808988764,0.013192077,0.013727975
74.831460674,0.013646980,0.014146032
76.853932584,0.014330546,0.014546200
78.876404494,0.014996724,0.014917894
80.898876404,0.015106086,0.015250683
82.921348315,0.016097241,0.015534767
84.943820225,0.016437102,0.015761459
86.966292135,0.016755056,0.015923625
88.988764045,0.017277422,0.016016053
91.011235955,0.017640364,0.016035732
93.033707865,0.016287264,0.015982020
95.056179775,0.015477282,0.015856671
97.078651685,0.015100294,0.015663746
99.101123596,0.014777069,0.015409391
101.123595506,0.014447514,0.015101515
103.146067416,0.014310473,0.014749378
105.168539326,0.013748447,0.014363134
107.191011236,0.013152385,0.013953344
109.213483146,0.013097484,0.013530509
111.235955056,0.012809224,0.013104629
113.258426966,0.012466106,0.012684842
115.280898876,0.012054262,0.012279126
117.303370787,0.011755926,0.011894103
119.325842697,0.011777038,0.011534933
121.348314607,0.011645281,0.011205292
123.370786517,0.011337149,0.010907431
125.393258427,0.011317667,0.010642296
127.415730337,0.011144347,0.010409699
129.438202247,0.010661899,0.010208516
131.460674157,0.010579047,0.010036891
133.483146067,0.010423987,0.009892452
135.505617978,0.010495383,0.009772496
137.528089888,0.009940310,0.009674170
139.550561798,0.009989668,0.009594606
141.573033708,0.009853148,0.009531039
143.595505618,0.009922019,0.009480890
145.617977528,0.009949606,0.009441816
147.640449438,0.009820179,0.009411746
149.662921348,0.009494772,0.009388887
151.685393258,0.009518425,0.009371721
153.707865169,0.009382254,0.009358984
155.730337079,0.009499254,0.009349647
157.752808989,0.009281613,0.009342883
159.775280899,0.009320528,0.009338042
161.797752809,0.009100327,0.009334617
163.820224719,0.009136442,0.009332223
165.842696629,0.009204747,0.009330569
167.865168539,0.009130484,0.009329440
169.887640449,0.009282873,0.009328677
171.910112360,0.009136828,0.009328169
173.932584270,0.009166490,0.009327833
175.955056180,0.008860579,0.009327615
177.977528090,0.008991076,0.009327474
180.000000000,0.008966862,0.009327384
