Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/flat_rep1_4x-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/flat_rep1_4x-MaxIP-fit
0.000000000,0.014672471,0.010389269
2.022471910,0.014543016,0.010389269
4.044943820,0.014305238,0.010389269
6.067415730,0.014517540,0.010389269
8.089887640,0.014460604,0.010389269
10.112359551,0.014007101,0.010389269
12.134831461,0.013804895,0.010389269
14.157303371,0.013807231,0.010389269
16.179775281,0.014035186,0.010389269
18.202247191,0.013571043,0.010389269
20.224719101,0.013050628,0.010389269
22.247191011,0.013332578,0.010389269
24.269662921,0.013021769,0.010389269
26.292134831,0.012763622,0.010389269
28.314606742,0.012487215,0.010389269
30.337078652,0.012775259,0.010389269
32.359550562,0.012767596,0.010389269
34.382022472,0.012401922,0.010389269
36.404494382,0.012282542,0.010389269
38.426966292,0.011615350,0.010389269
40.449438202,0.011469979,0.010389269
42.471910112,0.011084065,0.010389269
44.494382022,0.011086969,0.010389269
46.516853933,0.010627826,0.010389269
48.539325843,0.010178752,0.010389269
50.561797753,0.009975727,0.010389269
52.584269663,0.009763392,0.010389269
54.606741573,0.009604569,0.010389269
56.629213483,0.009355931,0.010389269
58.651685393,0.009110238,0.010389269
60.674157303,0.008997517,0.010389269
62.696629213,0.009219489,0.010389269
64.719101124,0.008904787,0.010389269
66.741573034,0.008595910,0.010389269
68.764044944,0.008581830,0.010389269
70.786516854,0.008280990,0.010389269
72.808988764,0.008291817,0.010389269
74.831460674,0.008608118,0.010389269
76.853932584,0.008590202,0.010389269
78.876404494,0.008255460,0.010389269
80.898876404,0.008410796,0.010389269
82.921348315,0.008528144,0.010389270
84.943820225,0.008455553,0.010389271
86.966292135,0.008112735,0.010389274
88.988764045,0.008209864,0.010389278
91.011235955,0.008333791,0.010389286
93.033707865,0.008363851,0.010389301
95.056179775,0.008426252,0.010389328
97.078651685,0.008399055,0.010389374
99.101123596,0.008408983,0.010389455
101.123595506,0.008341389,0.010389591
103.146067416,0.008418970,0.010389817
105.168539326,0.008404699,0.010390190
107.191011236,0.008587253,0.010390793
109.213483146,0.008369130,0.010391751
111.235955056,0.008540887,0.010393250
113.258426966,0.008825971,0.010395556
115.280898876,0.008751513,0.010399049
117.303370787,0.008837970,0.010404250
119.325842697,0.009113979,0.010411869
121.348314607,0.009279999,0.010422845
123.370786517,0.009586316,0.010438393
125.393258427,0.009863168,0.010460048
127.415730337,0.009758744,0.010489701
129.438202247,0.010224279,0.010529612
131.460674157,0.010463801,0.010582403
133.483146067,0.010276405,0.010651015
135.505617978,0.010590365,0.010738612
137.528089888,0.010652450,0.010848441
139.550561798,0.010887160,0.010983630
141.573033708,0.011527129,0.011146932
143.595505618,0.011593100,0.011340428
145.617977528,0.012057307,0.011565200
147.640449438,0.012081182,0.011821002
149.662921348,0.012280490,0.012105965
151.685393258,0.012452780,0.012416373
153.707865169,0.012719390,0.012746543
155.730337079,0.013153502,0.013088845
157.752808989,0.013741401,0.013433884
159.775280899,0.013793025,0.013770857
161.797752809,0.013924335,0.014088063
163.820224719,0.013911276,0.014373561
165.842696629,0.014278150,0.014615891
167.865168539,0.014668708,0.014804842
169.887640449,0.014940160,0.014932158
171.910112360,0.015033098,0.014992138
173.932584270,0.015436134,0.014982056
175.955056180,0.014977647,0.014902375
177.977528090,0.014528868,0.014756700
180.000000000,0.014672471,0.014551517
