Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/25_rep2_4x-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/25_rep2_4x-MaxIP-fit
0.000000000,0.009941623,0.009618224
2.022471910,0.009686676,0.009618224
4.044943820,0.009637780,0.009618224
6.067415730,0.009582300,0.009618224
8.089887640,0.009530708,0.009618225
10.112359551,0.009555510,0.009618225
12.134831461,0.009418139,0.009618226
14.157303371,0.009493654,0.009618228
16.179775281,0.009446590,0.009618233
18.202247191,0.009678322,0.009618242
20.224719101,0.009677157,0.009618262
22.247191011,0.009584730,0.009618303
24.269662921,0.009426420,0.009618384
26.292134831,0.009567953,0.009618541
28.314606742,0.009570433,0.009618838
30.337078652,0.009504402,0.009619387
32.359550562,0.009548108,0.009620380
34.382022472,0.009929681,0.009622133
36.404494382,0.009898483,0.009625154
38.426966292,0.009931693,0.009630239
40.449438202,0.010042006,0.009638595
42.471910112,0.010102920,0.009651999
44.494382022,0.010244322,0.009672986
46.516853933,0.010396001,0.009705051
48.539325843,0.010621158,0.009752848
50.561797753,0.010850627,0.009822342
52.584269663,0.010881836,0.009920871
54.606741573,0.010836426,0.010057042
56.629213483,0.011127504,0.010240418
58.651685393,0.011464313,0.010480925
60.674157303,0.011595761,0.010787962
62.696629213,0.011973331,0.011169217
64.719101124,0.012026968,0.011629282
66.741573034,0.012760589,0.012168180
68.764044944,0.013076408,0.012780023
70.786516854,0.013378426,0.013452021
72.808988764,0.014066819,0.014164097
74.831460674,0.014214690,0.014889296
76.853932584,0.014311753,0.015595095
78.876404494,0.015082404,0.016245609
80.898876404,0.016117563,0.016804499
82.921348315,0.017409035,0.017238293
84.943820225,0.018130327,0.017519683
86.966292135,0.017003876,0.017630373
88.988764045,0.017361785,0.017563045
91.011235955,0.018168413,0.017322159
93.033707865,0.017759058,0.016923463
95.056179775,0.016757035,0.016392293
97.078651685,0.017023457,0.015760908
99.101123596,0.015966894,0.015065258
101.123595506,0.014414186,0.014341631
103.146067416,0.013005068,0.013623606
105.168539326,0.012237806,0.012939661
107.191011236,0.011617722,0.012311627
109.213483146,0.011145112,0.011754071
111.235955056,0.010605967,0.011274498
113.258426966,0.010371357,0.010874218
115.280898876,0.010022298,0.010549624
117.303370787,0.010034424,0.010293651
119.325842697,0.009828966,0.010097201
121.348314607,0.009554442,0.009950381
123.370786517,0.009415119,0.009843474
125.393258427,0.009225154,0.009767600
127.415730337,0.009233987,0.009715094
129.438202247,0.009190306,0.009679656
131.460674157,0.009227888,0.009656321
133.483146067,0.009273990,0.009641328
135.505617978,0.009254688,0.009631926
137.528089888,0.009238623,0.009626170
139.550561798,0.008957089,0.009622730
141.573033708,0.009181991,0.009620723
143.595505618,0.009207154,0.009619580
145.617977528,0.009053383,0.009618943
147.640449438,0.009376092,0.009618597
149.662921348,0.009430506,0.009618413
151.685393258,0.009421947,0.009618318
153.707865169,0.009464638,0.009618270
155.730337079,0.009340544,0.009618246
157.752808989,0.009633753,0.009618234
159.775280899,0.009604870,0.009618229
161.797752809,0.009570326,0.009618226
163.820224719,0.009554288,0.009618225
165.842696629,0.009699359,0.009618225
167.865168539,0.009641512,0.009618225
169.887640449,0.009624910,0.009618224
171.910112360,0.009707156,0.009618224
173.932584270,0.009843753,0.009618224
175.955056180,0.009823877,0.009618224
177.977528090,0.009662061,0.009618224
180.000000000,0.009941623,0.009618224
