Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/25_rep1_4x-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/25_rep1_4x-MaxIP-fit
0.000000000,0.010132585,0.010252832
2.022471910,0.009848128,0.010252872
4.044943820,0.010104327,0.010252935
6.067415730,0.010087926,0.010253033
8.089887640,0.009752327,0.010253185
10.112359551,0.009952565,0.010253416
12.134831461,0.009859462,0.010253765
14.157303371,0.009890811,0.010254285
16.179775281,0.010314168,0.010255051
18.202247191,0.010227413,0.010256166
20.224719101,0.010231001,0.010257768
22.247191011,0.010304043,0.010260044
24.269662921,0.010189363,0.010263238
26.292134831,0.010402362,0.010267668
28.314606742,0.010220577,0.010273735
30.337078652,0.010223408,0.010281945
32.359550562,0.010070411,0.010292918
34.382022472,0.010003905,0.010307404
36.404494382,0.010127447,0.010326289
38.426966292,0.010589449,0.010350600
40.449438202,0.010519494,0.010381503
42.471910112,0.010312532,0.010420282
44.494382022,0.010588342,0.010468318
46.516853933,0.010591929,0.010527043
48.539325843,0.010941552,0.010597884
50.561797753,0.010772659,0.010682190
52.584269663,0.010673275,0.010781148
54.606741573,0.011039354,0.010895676
56.629213483,0.010672351,0.011026325
58.651685393,0.010961895,0.011173169
60.674157303,0.010949026,0.011335705
62.696629213,0.011253290,0.011512767
64.719101124,0.011340327,0.011702469
66.741573034,0.011456018,0.011902175
68.764044944,0.012352081,0.012108513
70.786516854,0.011837985,0.012317435
72.808988764,0.012525207,0.012524321
74.831460674,0.012891789,0.012724132
76.853932584,0.013225228,0.012911606
78.876404494,0.013562237,0.013081476
80.898876404,0.013351566,0.013228717
82.921348315,0.013112924,0.013348790
84.943820225,0.013736951,0.013437872
86.966292135,0.014138195,0.013493062
88.988764045,0.014490583,0.013512533
91.011235955,0.013789993,0.013495636
93.033707865,0.013091686,0.013442936
95.056179775,0.012973606,0.013356176
97.078651685,0.012872736,0.013238187
99.101123596,0.012992665,0.013092732
101.123595506,0.012301606,0.012924307
103.146067416,0.012332869,0.012737911
105.168539326,0.012369726,0.012538801
107.191011236,0.011892373,0.012332247
109.213483146,0.011850432,0.012123312
111.235955056,0.011757538,0.011916649
113.258426966,0.011585183,0.011716353
115.280898876,0.011536891,0.011525845
117.303370787,0.011631492,0.011347814
119.325842697,0.011479150,0.011184200
121.348314607,0.011677469,0.011036218
123.370786517,0.011013378,0.010904416
125.393258427,0.011007258,0.010788756
127.415730337,0.011161800,0.010688720
129.438202247,0.010954650,0.010603410
131.460674157,0.010794138,0.010531656
133.483146067,0.010771986,0.010472118
135.505617978,0.010768912,0.010423370
137.528089888,0.010754272,0.010383980
139.550561798,0.010764575,0.010352562
141.573033708,0.010804811,0.010327823
143.595505618,0.010520820,0.010308588
145.617977528,0.010570510,0.010293821
147.640449438,0.010530324,0.010282625
149.662921348,0.010502003,0.010274241
151.685393258,0.010501488,0.010268039
153.707865169,0.010403627,0.010263508
155.730337079,0.010456113,0.010260237
157.752808989,0.010495917,0.010257905
159.775280899,0.010488552,0.010256261
161.797752809,0.010282510,0.010255118
163.820224719,0.010141040,0.010254331
165.842696629,0.010298116,0.010253796
167.865168539,0.010028254,0.010253437
169.887640449,0.010260653,0.010253198
171.910112360,0.009945819,0.010253042
173.932584270,0.009998641,0.010252940
175.955056180,0.009925612,0.010252876
177.977528090,0.009757750,0.010252834
180.000000000,0.010132585,0.010252809
