Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/unstamped_rep3_4x-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/unstamped_rep3_4x-MaxIP-fit
0.000000000,0.014676167,0.009856965
2.022471910,0.014274589,0.009856965
4.044943820,0.014166177,0.009856965
6.067415730,0.014044927,0.009856965
8.089887640,0.013754805,0.009856965
10.112359551,0.013490434,0.009856965
12.134831461,0.012651068,0.009856965
14.157303371,0.012551875,0.009856965
16.179775281,0.012231245,0.009856965
18.202247191,0.011859716,0.009856965
20.224719101,0.011715056,0.009856965
22.247191011,0.011432257,0.009856965
24.269662921,0.011369142,0.009856965
26.292134831,0.011131315,0.009856965
28.314606742,0.010568385,0.009856965
30.337078652,0.010276493,0.009856965
32.359550562,0.010348683,0.009856965
34.382022472,0.010002431,0.009856965
36.404494382,0.009681590,0.009856965
38.426966292,0.009460777,0.009856965
40.449438202,0.009053400,0.009856965
42.471910112,0.009092525,0.009856966
44.494382022,0.008942958,0.009856967
46.516853933,0.008702150,0.009856968
48.539325843,0.008759841,0.009856971
50.561797753,0.008891737,0.009856975
52.584269663,0.008513149,0.009856980
54.606741573,0.008489533,0.009856989
56.629213483,0.008198466,0.009857003
58.651685393,0.008517135,0.009857024
60.674157303,0.008404505,0.009857056
62.696629213,0.008287490,0.009857104
64.719101124,0.008586641,0.009857175
66.741573034,0.008511161,0.009857279
68.764044944,0.008360063,0.009857431
70.786516854,0.008454373,0.009857651
72.808988764,0.008460712,0.009857967
74.831460674,0.008424621,0.009858417
76.853932584,0.008332611,0.009859050
78.876404494,0.008393386,0.009859936
80.898876404,0.008608128,0.009861163
82.921348315,0.008203264,0.009862848
84.943820225,0.008377023,0.009865144
86.966292135,0.008779332,0.009868244
88.988764045,0.008547341,0.009872391
91.011235955,0.008480457,0.009877892
93.033707865,0.008395673,0.009885124
95.056179775,0.008875915,0.009894547
97.078651685,0.009372414,0.009906717
99.101123596,0.009084814,0.009922292
101.123595506,0.008807655,0.009942047
103.146067416,0.009156884,0.009966876
105.168539326,0.009422323,0.009997798
107.191011236,0.009298156,0.010035954
109.213483146,0.009546423,0.010082600
111.235955056,0.009379337,0.010139092
113.258426966,0.009371863,0.010206864
115.280898876,0.009596656,0.010287392
117.303370787,0.009865180,0.010382153
119.325842697,0.010228491,0.010492573
121.348314607,0.010811617,0.010619962
123.370786517,0.010936074,0.010765444
125.393258427,0.011252076,0.010929882
127.415730337,0.010730008,0.011113795
129.438202247,0.011000168,0.011317277
131.460674157,0.011563484,0.011539924
133.483146067,0.012363906,0.011780768
135.505617978,0.012152494,0.012038220
137.528089888,0.012791252,0.012310042
139.550561798,0.013085787,0.012593336
141.573033708,0.013525407,0.012884559
143.595505618,0.013275910,0.013179574
145.617977528,0.014042312,0.013473726
147.640449438,0.014662602,0.013761949
149.662921348,0.014346364,0.014038903
151.685393258,0.014468046,0.014299132
153.707865169,0.014032838,0.014537238
155.730337079,0.014242029,0.014748062
157.752808989,0.014274396,0.014926877
159.775280899,0.014091140,0.015069553
161.797752809,0.014798060,0.015172725
163.820224719,0.014921236,0.015233918
165.842696629,0.015115177,0.015251649
167.865168539,0.015284315,0.015225487
169.887640449,0.015335807,0.015156069
171.910112360,0.014836886,0.015045073
173.932584270,0.015416787,0.014895155
175.955056180,0.015065788,0.014709838
177.977528090,0.014440948,0.014493380
180.000000000,0.014676167,0.014250606
