Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/flat_rep2_4x-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/flat_rep2_4x-MaxIP-fit
0.000000000,0.011595379,0.011540210
2.022471910,0.011347000,0.011675999
4.044943820,0.011262870,0.011813832
6.067415730,0.011352745,0.011952587
8.089887640,0.011742357,0.012091047
10.112359551,0.012124694,0.012227917
12.134831461,0.012233993,0.012361840
14.157303371,0.011803282,0.012491424
16.179775281,0.012067344,0.012615259
18.202247191,0.012283914,0.012731944
20.224719101,0.013037223,0.012840117
22.247191011,0.013950375,0.012938475
24.269662921,0.014125549,0.013025803
26.292134831,0.014606927,0.013101001
28.314606742,0.014240127,0.013163102
30.337078652,0.013763724,0.013211298
32.359550562,0.013145681,0.013244953
34.382022472,0.013255525,0.013263621
36.404494382,0.013553490,0.013267051
38.426966292,0.013744541,0.013255199
40.449438202,0.013703482,0.013228222
42.471910112,0.013064880,0.013186480
44.494382022,0.012469673,0.013130526
46.516853933,0.011711986,0.013061091
48.539325843,0.012268286,0.012979075
50.561797753,0.012284510,0.012885520
52.584269663,0.012622570,0.012781593
54.606741573,0.012236371,0.012668560
56.629213483,0.011780558,0.012547760
58.651685393,0.011845987,0.012420580
60.674157303,0.011773006,0.012288429
62.696629213,0.011939296,0.012152711
64.719101124,0.011874330,0.012014800
66.741573034,0.011917549,0.011876022
68.764044944,0.011954612,0.011737630
70.786516854,0.011763197,0.011600792
72.808988764,0.011713923,0.011466572
74.831460674,0.011631801,0.011335921
76.853932584,0.011744353,0.011209671
78.876404494,0.011793393,0.011088528
80.898876404,0.011574033,0.010973073
82.921348315,0.011411330,0.010863759
84.943820225,0.011458440,0.010760921
86.966292135,0.011115986,0.010664777
88.988764045,0.010777283,0.010575438
91.011235955,0.010790129,0.010492916
93.033707865,0.010881243,0.010417137
95.056179775,0.010479014,0.010347951
97.078651685,0.010394501,0.010285141
99.101123596,0.010421189,0.010228438
101.123595506,0.009870756,0.010177530
103.146067416,0.010284609,0.010132075
105.168539326,0.009953175,0.010091706
107.191011236,0.009694364,0.010056046
109.213483146,0.009593905,0.010024711
111.235955056,0.010044442,0.009997322
113.258426966,0.009776228,0.009973506
115.280898876,0.009598329,0.009952904
117.303370787,0.009394537,0.009935173
119.325842697,0.009294243,0.009919990
121.348314607,0.009257340,0.009907056
123.370786517,0.009187286,0.009896092
125.393258427,0.009215265,0.009886846
127.415730337,0.009578272,0.009879086
129.438202247,0.009003917,0.009872606
131.460674157,0.009180556,0.009867222
133.483146067,0.009142495,0.009862771
135.505617978,0.008970847,0.009859108
137.528089888,0.009169877,0.009856109
139.550561798,0.009316727,0.009853665
141.573033708,0.009562205,0.009851684
143.595505618,0.009680538,0.009850085
145.617977528,0.009453406,0.009848801
147.640449438,0.009586895,0.009847775
149.662921348,0.009330735,0.009846959
151.685393258,0.009505237,0.009846313
153.707865169,0.009647000,0.009845804
155.730337079,0.009762097,0.009845405
157.752808989,0.009837382,0.009845094
159.775280899,0.010304641,0.009844852
161.797752809,0.010118418,0.009844665
163.820224719,0.010226177,0.009844522
165.842696629,0.010485786,0.009844412
167.865168539,0.010490828,0.009844328
169.887640449,0.010519538,0.009844264
171.910112360,0.010737274,0.009844216
173.932584270,0.010899177,0.009844180
175.955056180,0.011172973,0.009844153
177.977528090,0.010923494,0.009844133
180.000000000,0.011595379,0.009844118
